row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,reason,entity2_status,entity1_status
255,Batten,20260508-Batten_final.csv,juvenile neuronal ceroid lipofuscinosis,CLN3,disease_protein,38195117,duplicate_literature_row,,
257,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,seizures,disease_phenotype_positive,38249738,duplicate_literature_row,,
258,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,visual impairments,disease_phenotype_positive,38249738,duplicate_literature_row,,
273,Batten,20260508-Batten_final.csv,cerliponase alfa,TPP1,drug_protein,38693756,duplicate_literature_row,,
276,Batten,20260508-Batten_final.csv,lysosomal storage disease,white matter involvement,disease_phenotype_positive,39139602,unresolved_entity2,C4539597,
277,Batten,20260508-Batten_final.csv,cerliponase alfa,slow deteriorated motor function,drug_effect,39201975,duplicate_literature_row,,
278,Batten,20260508-Batten_final.csv,cerliponase alfa,slow deteriorated language function,drug_effect,39201975,duplicate_literature_row,,
288,Batten,20260508-Batten_final.csv,methylprednisolone,no effect,drug_effect,39470529,unresolved_entity2,C1301751,
293,Batten,20260508-Batten_final.csv,cerliponase alfa,slowed motor decline,drug_effect,40162009,duplicate_literature_row,,
294,Batten,20260508-Batten_final.csv,Neuronal ceroid lipofuscinosis,lipofuscin accumulation,disease_phenotype_positive,40166029,duplicate_literature_row,,
295,Batten,20260508-Batten_final.csv,metformin,behavior improvement,off_label_use,40346285,unresolved_entity2,C5546893,
298,Batten,Batten_additional_relations_v2.csv,unconventional secretory pathway,DNAJC5,bioprocess_protein,34188051,unresolved_entity1,,C1159342
301,Batten,Batten_additional_relations_v2.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,postural vertical nystagmus,disease_phenotype_positive,34679057,unresolved_entity2,C0344246,
303,Batten,Batten_additional_relations_v2.csv,neuronal ceroid lipofuscinoses,soluble lysosomal enzymes,disease_protein,35033660,unresolved_entity2,C0391845,
305,Batten,Batten_additional_relations_v2.csv,degrading cysteine residues,PPT1,bioprocess_protein,36088080,unresolved_entity1,,C4314398
311,Batten,Batten_additional_relations_v2.csv,accumulation of ceroid lipopigment,MFSD8,phenotype_protein,36833170,unresolved_entity1,,C0268279
313,Batten,Batten_additional_relations_v2.csv,CLN3,1.02 kb deletion on exons 8,protein_protein,36576693,duplicate_literature_row,,
315,Batten,Batten_additional_relations_v2.csv,MFSD8,lysosomal chloride channel,bioprocess_protein,37742391,unresolved_entity2,C0055363,
317,Batten,Batten_additional_relations_v2.csv,TPP1,intronic splice variant,phenotype_protein,37922835,unresolved_entity2,C1881249,
319,Batten,Batten_additional_relations_v2.csv,DNAJC5,cysteine string protein α,protein_protein,38193346,unresolved_entity2,C3489497,
320,Batten,Batten_additional_relations_v2.csv,ultrahigh frequency - transcutaneous electrical nerve stimulation,neuropathic pain,drug_effect,38368171,unresolved_entity1,,C0040654
321,Batten,Batten_additional_relations_v2.csv,high-dose intravenous immunoglobulin,no effect,drug_effect,39470529,unresolved_entity1,,C0085297
322,Batten,Batten_additional_relations_v2.csv,transacylation reaction,acylating the precursor lipid phosphatidylglycerol,bioprocess_bioprocess,39548099,unresolved_entity1,,C0597598
323,Batten,Batten_additional_relations_v2.csv,learning and memory impairment,PPT1,phenotype_protein,39695089,unresolved_entity1,,C0423943
328,NPC,20260508-NMP_final.csv,2-hydroxypropyl-beta-cyclodextrin,restore lipid homeostasis,drug_bioprocess,34364974,unsupported_relation:drug_bioprocess,,
330,NPC,20260508-NMP_final.csv,astrocytic,GFAP,anatomy_protein_present,37454976,unresolved_entity1,,C0521395
333,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,accumulated unesterified cholesterol,disease_phenotype_positive,39173891,unresolved_entity2,C3553603,
337,NPC,20260508-NMP_final.csv,central nervous system,Niemann-Pick Disease Type C,anatomy_disease,35695805,unsupported_relation:anatomy_disease,,
340,NPC,20260508-NMP_final.csv,cholesterol accumulation,Brain,phenotype_anatomy,38142760,unsupported_relation:phenotype_anatomy,,
341,NPC,20260508-NMP_final.csv,neurogenetic disease,Niemann-Pick Disease Type C,disease_disease,39706535,unresolved_entity1,,C5681332
345,NPC,20260508-NMP_final.csv,2-Hydroxypropyl-β-cyclodextrin,Niemann-Pick Disease Type C,indication,38763706,duplicate_literature_row,,
346,NPC,20260508-NMP_final.csv,2-hydroxypropyl-β-cyclodextrin,Niemann-Pick Disease Type C,indication,36116252,duplicate_literature_row,,
355,NPC,20260508-NMP_final.csv,cholesterol accumulation,NPC1,phenotype_protein,38087834,unresolved_entity1,,C5436605
360,NPC,20260508-NMP_final.csv,brain lesions,NPC1,phenotype_protein,38087834,unresolved_entity1,,C0221505
361,NPC,20260508-NMP_final.csv,death,NPC1,phenotype_protein,38087834,unresolved_entity1,,C1306577
363,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC1,disease_protein,40436106,duplicate_literature_row,,
365,NPC,20260508-NMP_final.csv,NPC1,NPC2,protein_protein,40436106,duplicate_literature_row,,
366,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,neuronal degeneration,disease_phenotype_positive,40436106,unresolved_entity2,C3670500,
370,NPC,20260508-NMP_final.csv,neuronal loss,NPC1,phenotype_protein,40436106,duplicate_literature_row,,
377,NPC,20260508-NMP_final.csv,Miglustat,Niemann-Pick disease type C,indication,40215728,duplicate_literature_row,,
379,NPC,20260508-NMP_final.csv,Arimoclomol,autophagy,drug_bioprocess,40215728,unsupported_relation:drug_bioprocess,,
380,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC1,disease_protein,40215728,duplicate_literature_row,,
381,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC2,disease_protein,40215728,duplicate_literature_row,,
382,NPC,20260508-NMP_final.csv,lysosomal,NPC1,cellcomp_protein,40215728,unresolved_entity1,,C0521450
389,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,accumulation of unesterified cholesterol,disease_phenotype_positive,40215728,duplicate_literature_row,,
390,NPC,20260508-NMP_final.csv,NPC1,cholesterol accumulation,phenotype_protein,40215728,unresolved_entity2,C5436605,
392,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC1,disease_protein,40107109,duplicate_literature_row,,
394,NPC,20260508-NMP_final.csv,cholesterol,growth,exposure_phenotype,35245460,unsupported_relation:exposure_phenotype,,
395,NPC,20260508-NMP_final.csv,cholesterol,early maturation,exposure_phenotype,35245460,unsupported_relation:exposure_phenotype,,
396,NPC,20260508-NMP_final.csv,oxysterols,Niemann-Pick disease type C,bioprocess_disease,41274250,unsupported_relation:bioprocess_disease,,
398,NPC,20260508-NMP_final.csv,Cholesterol trafficking,NPC1,bioprocess_protein,41274250,unresolved_entity1,,C5960876
399,NPC,20260508-NMP_final.csv,Cholesterol trafficking,NPC2,bioprocess_protein,41274250,unresolved_entity1,,C5960876
402,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC2,disease_protein,40306479,duplicate_literature_row,,
403,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC1,disease_protein,40306479,duplicate_literature_row,,
404,NPC,20260508-NMP_final.csv,intracellular transport,NPC1, bioprocess_protein,40306479,duplicate_literature_row,,
406,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,neurological impairments,disease_phenotype_positive,40306479,unresolved_entity2,C0521654,
409,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC1,disease_protein,35850050,duplicate_literature_row,,
410,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC2,disease_protein,35850050,duplicate_literature_row,,
412,NPC,20260508-NMP_final.csv,NPC1,NPC2,protein_protein,35850050,duplicate_literature_row,,
