relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
protein_protein,ppi,8758,29801,gene/protein,ZDHHC8,NCBI,3115,4776,gene/protein,NFATC4,NCBI
protein_protein,ppi,9836,55146,gene/protein,ZDHHC4,NCBI,3115,4776,gene/protein,NFATC4,NCBI
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,25593,4302,effect/phenotype,Functional motor deficit,HPO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
disease_disease,parent-child,129319,2561,disease,lysosomal storage disease,MONDO,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
disease_phenotype_positive,phenotype present,43338,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,24852,546,effect/phenotype,Retinal degeneration,HPO
disease_phenotype_positive,phenotype present,43338,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,25883,3204,effect/phenotype,Intracellular accumulation of autofluorescent lipopigment storage material,HPO
phenotype_protein,associated with,26936,529,effect/phenotype,Progressive visual loss,HPO,844,1201,gene/protein,CLN3,NCBI
indication,indication,22252,DB13173,drug,Cerliponase alfa,DrugBank,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
disease_disease,parent-child,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
molfunc_protein,interacts with,54202,72593,biological_process,reactive oxygen species metabolic process,GO,3414,5209,gene/protein,PFKFB3,NCBI
indication,indication,16683,DB00593,drug,Ethosuximide,DrugBank,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
phenotype_protein,associated with,845,1203,gene/protein,CLN5,NCBI,48341,55088,biological_process,lipid homeostasis,GO
phenotype_protein,associated with,845,1203,gene/protein,CLN5,NCBI,63280,R-HSA-428157,pathway,Sphingolipid metabolism,REACTOME
drug_effect,side effect,19022,DB00419,drug,Miglustat,DrugBank,43061,19713,disease,non-syndromic limb reduction defect,MONDO
drug_effect,side effect,43061,19713,disease,non-syndromic limb reduction defect,MONDO,43061,19713,disease,non-syndromic limb reduction defect,MONDO
drug_effect,side effect,19022,DB00419,drug,Miglustat,DrugBank,85510,12240,effect/phenotype,Increased intramyocellular lipid droplets,HPO
disease_phenotype_positive,phenotype present,28344,100806,effect/phenotype,Sepsis,HPO,81404,1927,effect/phenotype,Acanthocytosis,HPO
disease_disease,parent-child,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
phenotype_protein,associated with,26269,396,effect/phenotype,Overfolded helix,HPO,3642,5538,gene/protein,PPT1,NCBI
phenotype_protein,associated with,89108,33569,effect/phenotype,Extreme axis deviation,HPO,3642,5538,gene/protein,PPT1,NCBI
phenotype_protein,associated with,82827,5968,effect/phenotype,Temperature instability,HPO,3642,5538,gene/protein,PPT1,NCBI
phenotype_protein,associated with,89187,33666,effect/phenotype,Diminished physical functioning,HPO,3642,5538,gene/protein,PPT1,NCBI
disease_protein,associated with,129319,2561,disease,lysosomal storage disease,MONDO,834,1185,gene/protein,CLCN6,NCBI
disease_protein,associated with,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,834,1185,gene/protein,CLCN6,NCBI
cellcomp_protein,interacts with,3642,5538,gene/protein,PPT1,NCBI,129320,99703,cellular component,induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration,GO
phenotype_protein,associated with,844,1201,gene/protein,CLN3,NCBI,26786,2344,effect/phenotype,Progressive neurologic deterioration,HPO
cellcomp_protein,interacts with,52653,33299,biological_process,secretion of lysosomal enzymes,GO,843,1200,gene/protein,TPP1,NCBI
protein_protein,ppi,13262,154881,gene/protein,KCTD7,NCBI,845,1203,gene/protein,CLN5,NCBI
disease_phenotype_positive,phenotype present,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,29171,2376,effect/phenotype,Developmental regression,HPO
disease_phenotype_positive,phenotype present,40785,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,24914,739,effect/phenotype,Anxiety,HPO
disease_phenotype_positive,phenotype present,40785,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,40785,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped
disease_phenotype_positive,phenotype present,40785,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,48164,2524,biological_process,hypersensitivity,GO
disease_phenotype_positive,phenotype present,40785,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,25146,2360,effect/phenotype,Sleep disturbance,HPO
disease_phenotype_positive,phenotype present,40785,19496_1010233_44033,disease,progressive multiple sclerosis,MONDO_grouped,24837,505,effect/phenotype,Visual impairment,HPO
disease_protein,associated with,43338,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,13621,256471,gene/protein,MFSD8,NCBI
disease_phenotype_positive,phenotype present,43338,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,32802,9549,disease,severe early-childhood-onset retinal dystrophy,MONDO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,25474,11813,effect/phenotype,Increased cerebral lipofuscin,HPO
disease_protein,associated with,43351,19262,disease,juvenile neuronal ceroid lipofuscinosis,MONDO,844,1201,gene/protein,CLN3,NCBI
disease_disease,parent-child,40818,5559,disease,neurodegenerative disease,MONDO,43351,19262,disease,juvenile neuronal ceroid lipofuscinosis,MONDO
molfunc_protein,interacts with,844,1201,gene/protein,CLN3,NCBI,844,1201,gene/protein,CLN3,NCBI
bioprocess_protein,interacts with,844,1201,gene/protein,CLN3,NCBI,47870,19725,biological_process,cellular homeostasis,GO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,36536,1149,disease,microcephaly,MONDO
phenotype_protein,associated with,26751,1272,effect/phenotype,Cerebellar atrophy,HPO,13621,256471,gene/protein,MFSD8,NCBI
phenotype_protein,associated with,25494,2059,effect/phenotype,Cerebral atrophy,HPO,13621,256471,gene/protein,MFSD8,NCBI
phenotype_protein,associated with,29171,2376,effect/phenotype,Developmental regression,HPO,13621,256471,gene/protein,MFSD8,NCBI
phenotype_protein,associated with,36536,1149,disease,microcephaly,MONDO,13621,256471,gene/protein,MFSD8,NCBI
bioprocess_protein,interacts with,844,1201,gene/protein,CLN3,NCBI,53494,44351,biological_process,macropinocytosis,GO
disease_phenotype_positive,phenotype present,28171,33429,effect/phenotype,Neuroinflammation,HPO,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME
disease_phenotype_positive,phenotype present,55662,22008,biological_process,neurogenesis,GO,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME
disease_phenotype_positive,phenotype present,49423,6914,biological_process,autophagy,GO,63514,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME
protein_protein,ppi,844,1201,gene/protein,CLN3,NCBI,6625,10146,gene/protein,G3BP1,NCBI
disease_protein,associated with,34544,8606_7256_20588_800183,disease,hepatocellular carcinoma,MONDO_grouped,844,1201,gene/protein,CLN3,NCBI
disease_protein,associated with,34544,8606_7256_20588_800183,disease,hepatocellular carcinoma,MONDO_grouped,4420,6635,gene/protein,SNRPE,NCBI
bioprocess_protein,interacts with,46818,16477,biological_process,cell migration,GO,4420,6635,gene/protein,SNRPE,NCBI
disease_phenotype_positive,phenotype present,30192,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped,35493,16591,disease,sporadic adult-onset ataxia of unknown etiology,MONDO
disease_phenotype_positive,phenotype present,30192,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped,25474,11813,effect/phenotype,Increased cerebral lipofuscin,HPO
disease_disease,parent-child,43536,15611,disease,neutral lipid storage disease,MONDO,30192,13485_12246_33480_11694_14867_12103_11819_30805_859334_8458_11781_8457_7574_11833_14626_33479_11834_12450_8119_14776_12116_12449_7298_11529_13241_7296_11464_13594_11330_14417_14475_10847_13486_16163_11439_14410_32526_11540_12098_10848_33481_12247_33482_13029_975800,disease,spinocerebellar ataxia,MONDO_grouped
drug_effect,side effect,22252,DB13173,drug,Cerliponase alfa,DrugBank,26786,2344,effect/phenotype,Progressive neurologic deterioration,HPO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,41660,5027,disease,epilepsy,MONDO
drug_effect,side effect,62326,D008094,exposure,Lithium,CTD,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped
drug_effect,side effect,22252,DB13173,drug,Cerliponase alfa,DrugBank,84768,10862,effect/phenotype,Delayed fine motor development,HPO
drug_effect,side effect,22252,DB13173,drug,Cerliponase alfa,DrugBank,83257,7064,effect/phenotype,Progressive language deterioration,HPO
drug_protein,target,22252,DB13173,drug,Cerliponase alfa,DrugBank,843,1200,gene/protein,TPP1,NCBI
drug_effect,side effect,22252,DB13173,drug,Cerliponase alfa,DrugBank,81524,2333,effect/phenotype,Motor deterioration,HPO
exposure_bioprocess,interacts with,845,1203,gene/protein,CLN5,NCBI,52653,33299,biological_process,secretion of lysosomal enzymes,GO
bioprocess_protein,interacts with,845,1203,gene/protein,CLN5,NCBI,45962,46903,biological_process,secretion,GO
bioprocess_protein,interacts with,1046,1509,gene/protein,CTSD,NCBI,45962,46903,biological_process,secretion,GO
phenotype_phenotype,parent-child,28171,33429,effect/phenotype,Neuroinflammation,HPO,92104,6000040,effect/phenotype,Neuropathic pain,HPO
disease_protein,associated with,30291,15004_10983_44871_12712_14019_30486_30513_30538_13813_15003_12789_859215_14627_25691_30958_7495_7496_957385_14033_957542_30455_13928_957539_24304_9142_100098,disease,dystonia,MONDO_grouped,9835,55145,gene/protein,THAP1,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,323,468,gene/protein,ATF4,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,844,1201,gene/protein,CLN3,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,11895,83939,gene/protein,EIF2A,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,4126,6240,gene/protein,RRM1,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,420,624,gene/protein,BDKRB2,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,1294,1902,gene/protein,LPAR1,NCBI
protein_protein,ppi,9835,55145,gene/protein,THAP1,NCBI,5603,8738,gene/protein,CRADD,NCBI
disease_protein,associated with,41655,5071,disease,nervous system disorder,MONDO,4554,6812,gene/protein,STXBP1,NCBI
disease_protein,associated with,41655,5071,disease,nervous system disorder,MONDO,1276,1861,gene/protein,TOR1A,NCBI
drug_effect,side effect,22252,DB13173,drug,Cerliponase alfa,DrugBank,83319,7272,effect/phenotype,Progressive psychomotor deterioration,HPO
drug_effect,side effect,22252,DB13173,drug,Cerliponase alfa,DrugBank,83335,7321,effect/phenotype,Deep white matter hypodensities,HPO
disease_phenotype_positive,phenotype present,43338,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,25636,2180,effect/phenotype,Neurodegeneration,HPO
disease_phenotype_positive,phenotype present,43338,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,25150,100543,effect/phenotype,Cognitive impairment,HPO
drug_effect,side effect,18069,DB00331,drug,Metformin,DrugBank,83221,6964,effect/phenotype,Cerebral cortical neurodegeneration,HPO
off-label use,off-label use,18069,DB00331,drug,Metformin,DrugBank,36191,9697,disease,Lafora disease,MONDO
disease_disease,parent-child,31182,12721_30936_14521_14685_14545_13526_30034_12904_17640_3225,disease,progressive myoclonic epilepsy,MONDO_grouped,36191,9697,disease,Lafora disease,MONDO
disease_phenotype_positive,phenotype present,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,25573,12444,effect/phenotype,Brain atrophy,HPO
disease_disease,parent-child,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,30149,850097_5538_20640_1011713,disease,autoimmune encephalitis,MONDO_grouped
disease_disease,parent-child,30631,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,32337,9366,disease,normal pressure hydrocephalus,MONDO
