row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,relation_integrated,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source,entity1_resolve_method,entity2_resolve_method,already_in_base_kg
13,Canavan,20260508-Canavan_final.csv,Canavan disease,prominent spongiform brain degeneration,disease_phenotype_positive,37610133,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,6790,effect/phenotype,Cerebral cortex with spongiform changes,HPO,name,suggested_name,False
15,Canavan,20260508-Canavan_final.csv,Leukodystrophy,Canavan disease,disease_phenotype_positive,38011891,disease_phenotype_positive,phenotype present,19046,disease,leukodystrophy,MONDO,10079_16781_16207,disease,Canavan disease,MONDO_grouped,name,name,False
17,Canavan,20260508-Canavan_final.csv,neurodegenerative disorder,Canavan disease,disease_disease,38309148,disease_disease,parent-child,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,10079_16781_16207,disease,Canavan disease,MONDO_grouped,cui_umls_name,name,False
20,Canavan,20260508-Canavan_final.csv,Canavan disease,hypomyelination,disease_phenotype_positive,38538326,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,3429,effect/phenotype,CNS hypomyelination,HPO,name,cui_xref,False
21,Canavan,20260508-Canavan_final.csv,Canavan disease,swollen axons,disease_phenotype_positive,38538326,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,3405,effect/phenotype,Diffuse axonal swelling,HPO,name,suggested_name,False
22,Canavan,20260508-Canavan_final.csv,Canavan disease,progressive macrocephaly,disease_phenotype_positive,40298596,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,4481,effect/phenotype,Progressive macrocephaly,HPO,name,name,False
23,Canavan,20260508-Canavan_final.csv,Canavan disease,axial hypotonia,disease_phenotype_positive,40298596,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,8936,effect/phenotype,Axial hypotonia,HPO,name,name,False
24,Canavan,20260508-Canavan_final.csv,Canavan disease,limb stiffness,disease_phenotype_positive,40298596,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,7066,effect/phenotype,Proximal limb muscle stiffness,HPO,name,suggested_name,False
25,Canavan,20260508-Canavan_final.csv,Canavan disease,intention tremor,disease_phenotype_positive,40656657,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,2080,effect/phenotype,Intention tremor,HPO,name,name,False
26,Canavan,20260508-Canavan_final.csv,Canavan disease,fine motor,disease_phenotype_positive,40656657,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,7010,effect/phenotype,Poor fine motor coordination,HPO,name,suggested_name,False
28,Canavan,20260508-Canavan_final.csv,Canavan disease,Visual Impairment,disease_phenotype_positive,34446995,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,505,effect/phenotype,Visual impairment,HPO,name,name,True
29,Canavan,20260508-Canavan_final.csv,Canavan disease,pyramidal signs,disease_phenotype_positive,34446995,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,7256,effect/phenotype,Abnormal pyramidal sign,HPO,name,suggested_name,True
30,Canavan,20260508-Canavan_final.csv,Canavan disease,seizures,disease_phenotype_positive,34446995,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1250,effect/phenotype,Seizure,HPO,name,cui_xref,True
31,Canavan,20260508-Canavan_final.csv,Canavan disease,microcephaly,disease_phenotype_positive,34446995,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1149,disease,microcephaly,MONDO,name,name,False
32,Canavan,20260508-Canavan_final.csv,Canavan disease,Lethargy,disease_phenotype_positive,34477360,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1254,effect/phenotype,Lethargy,HPO,name,name,False
36,Canavan,20260508-Canavan_final.csv,Canavan disease,ataxia,disease_phenotype_positive,34498299,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1251,effect/phenotype,Ataxia,HPO,name,name,False
45,Canavan,20260508-Canavan_final.csv,clobazam,Canavan disease,indication,36968992,indication,indication,DB00349,drug,Clobazam,DrugBank,10079_16781_16207,disease,Canavan disease,MONDO_grouped,name,name,False
46,Canavan,20260508-Canavan_final.csv,primidone,Canavan disease,indication,36968992,indication,indication,DB00794,drug,Primidone,DrugBank,10079_16781_16207,disease,Canavan disease,MONDO_grouped,name,name,False
49,Canavan,20260508-Canavan_final.csv,Canavan disease,myelin,disease_phenotype_positive,37149081,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,345,anatomy,myelin,UBERON,name,name,False
54,Canavan,20260508-Canavan_final.csv,spongiform leukodystrophy,Canavan disease,disease_disease,38544400,disease_disease,parent-child,10079,disease,Canavan disease,MONDO,10079_16781_16207,disease,Canavan disease,MONDO_grouped,new_cui,name,False
70,Canavan,20260508-Canavan_final.csv,Canavan disease,deafness,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,365,effect/phenotype,Hearing impairment,HPO,name,cui_xref,True
71,Canavan,20260508-Canavan_final.csv,Canavan disease,blindness,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,618,effect/phenotype,Blindness,HPO,name,name,True
72,Canavan,20260508-Canavan_final.csv,Canavan disease,brain atrophy,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,12444,effect/phenotype,Brain atrophy,HPO,name,name,True
74,Canavan,20260508-Canavan_final.csv,Canavan disease,intramyelinic vacuoles,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,6000978,effect/phenotype,Nonrimmed muscle vacuoles,HPO,name,suggested_name,False
75,Canavan,20260508-Canavan_final.csv,Canavan disease,edema,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,969,effect/phenotype,Edema,HPO,name,name,False
76,Canavan,20260508-Canavan_final.csv,Canavan disease,delayed closure of the anterior fontanel,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1476,effect/phenotype,Delayed closure of the anterior fontanelle,HPO,name,suggested_name,True
77,Canavan,20260508-Canavan_final.csv,Canavan disease,optic atrophy,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,648,effect/phenotype,Optic atrophy,HPO,name,name,True
78,Canavan,20260508-Canavan_final.csv,Canavan disease,spasticity,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,1257,effect/phenotype,Spasticity,HPO,name,name,False
80,Canavan,20260508-Canavan_final.csv,Canavan disease,opisthotonus,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,2179,effect/phenotype,Opisthotonus,HPO,name,name,True
81,Canavan,20260508-Canavan_final.csv,Canavan disease,cerebral delayed posture,disease_phenotype_positive,39119446,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,31705,effect/phenotype,Compensatory head posture,HPO,name,suggested_name,False
89,Canavan,20260508-Canavan_final.csv,Canavan disease,psychomotor deficits,disease_phenotype_positive,39628365,disease_phenotype_positive,phenotype present,10079_16781_16207,disease,Canavan disease,MONDO_grouped,4302,effect/phenotype,Functional motor deficit,HPO,name,suggested_name,False
92,Canavan,20260508-Canavan_final.csv,lethal neurological disorder,Canavan disease,disease_disease,38740822,disease_disease,parent-child,9512,disease,lethal Larsen-like syndrome,MONDO,10079_16781_16207,disease,Canavan disease,MONDO_grouped,suggested_name,name,False
95,Canavan,20260508-Canavan_final.csv,Canavan disease,CRNDE,disease_protein,38822362,disease_protein,associated with,10079_16781_16207,disease,Canavan disease,MONDO_grouped,643911,gene/protein,CRNDE,NCBI,name,name,False
97,Canavan,20260508-Canavan_final.csv,Topiramate,Canavan disease,drug_effect,38582917,drug_effect,side effect,DB00273,drug,Topiramate,DrugBank,10079_16781_16207,disease,Canavan disease,MONDO_grouped,name,name,False
105,Batten,20260508-Batten_final.csv,adult neuronal ceroid lipofuscinosis,DNAJC5,disease_protein,34188051,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,80331,gene/protein,DNAJC5,NCBI,suggested_name,name,True
106,Batten,20260508-Batten_final.csv,secretory vesicles,DNAJC5,cellcomp_protein,34188051,cellcomp_protein,interacts with,30141,cellular component,secretory granule,GO,80331,gene/protein,DNAJC5,NCBI,new_cui,name,False
107,Batten,20260508-Batten_final.csv,Endoplasmic Reticulum,CLN8,cellcomp_protein,34201538,cellcomp_protein,interacts with,5783,cellular_component,endoplasmic reticulum,GO,2055,gene/protein,CLN8,NCBI,name,name,True
108,Batten,20260508-Batten_final.csv,Endoplasmic Reticulum-Golgi intermediate compartment,CLN8,cellcomp_protein,34201538,cellcomp_protein,interacts with,5793,cellular_component,endoplasmic reticulum-Golgi intermediate compartment,GO,2055,gene/protein,CLN8,NCBI,name,name,True
109,Batten,20260508-Batten_final.csv,CTSD,autophagy,bioprocess_protein,34331747,bioprocess_protein,interacts with,1509,gene/protein,CTSD,NCBI,6914,biological_process,autophagy,GO,name,name,False
110,Batten,20260508-Batten_final.csv,CTSD,lysosome,cellcomp_protein,34331747,cellcomp_protein,interacts with,1509,gene/protein,CTSD,NCBI,5764,cellular_component,lysosome,GO,name,name,True
111,Batten,20260508-Batten_final.csv,CTSD,brain,anatomy_protein_present,34331747,anatomy_protein_present,expression present,1509,gene/protein,CTSD,NCBI,955,anatomy,brain,UBERON,name,name,True
112,Batten,20260508-Batten_final.csv,Neuronal Ceroid Lipofuscinoses,CTSD,disease_protein,34331747,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,1509,gene/protein,CTSD,NCBI,suggested_name,name,True
113,Batten,20260508-Batten_final.csv,cellular localization,CTSD,cellcomp_protein,34331747,cellcomp_protein,interacts with,51641,biological_process,cellular localization,GO,1509,gene/protein,CTSD,NCBI,name,name,False
114,Batten,20260508-Batten_final.csv,DHDDS,neurodevelopmental and neurodegenerative disorder,disease_protein,34382076,disease_protein,associated with,79947,gene/protein,DHDDS,NCBI,100038,disease,complex neurodevelopmental disorder,MONDO,name,suggested_name,False
115,Batten,20260508-Batten_final.csv,neurodevelopmental and neurodegenerative disorder,action myoclonus,disease_phenotype_positive,34382076,disease_phenotype_positive,phenotype present,100038,disease,complex neurodevelopmental disorder,MONDO,34360,effect/phenotype,Action myoclonus,HPO,suggested_name,name,False
116,Batten,20260508-Batten_final.csv,NUS1,neurodevelopmental and neurodegenerative disorder,disease_protein,34382076,disease_protein,associated with,116150,gene/protein,NUS1,NCBI,100038,disease,complex neurodevelopmental disorder,MONDO,name,suggested_name,False
117,Batten,20260508-Batten_final.csv,neurodevelopmental and neurodegenerative disorder,ataxia,disease_phenotype_positive,34382076,disease_phenotype_positive,phenotype present,100038,disease,complex neurodevelopmental disorder,MONDO,1251,effect/phenotype,Ataxia,HPO,suggested_name,name,False
118,Batten,20260508-Batten_final.csv,DHDDS,endoplasmic reticulum,cellcomp_protein,34382076,cellcomp_protein,interacts with,79947,gene/protein,DHDDS,NCBI,5783,cellular_component,endoplasmic reticulum,GO,name,name,True
119,Batten,20260508-Batten_final.csv,retinitis pigmentosa 59,DHDDS,disease_protein,34382076,disease_protein,associated with,19200_13469_10259_8377_13395_13052_11137_10320_12477_12943_13468_54708_12625_11272_12813_14186_14345_14093_8379_12523_859308_8378_14871_44314_13429_36482_32834_30071_13175_12363_13402_14323_14692_13314_32577_32940_13414_14929_10945_859367_10818_13437_13315_10806_13425_13405_10828_13516_13413_11935_13436_14850_44320_15013_13610_14400_12796_13407_10761_957314_32604_13611_12463_12367_32689_13447_10827_13263_14687_11075_12024_14618_13312_30797_13328_910_10227_11974_11630_14653_13274_14256_10723_30619_32873_33563_13780_1010334_1011259_800328_9982_10374_11259_800348_800352_800359_975840_1011258_1011276_1060144,disease,retinitis pigmentosa,MONDO_grouped,79947,gene/protein,DHDDS,NCBI,suggested_name,name,True
120,Batten,20260508-Batten_final.csv,neurodevelopmental and neurodegenerative disorder,genetic progressive encephalopathies with myoclonus,disease_disease,34382076,disease_disease,parent-child,100038,disease,complex neurodevelopmental disorder,MONDO,19488,disease,myoclonic epilepsy in non-progressive encephalopathies,MONDO,suggested_name,cui_xref,False
122,Batten,20260508-Batten_final.csv,neurological deterioration,death,phenotype_phenotype,34491000,phenotype_phenotype,parent-child,7307,effect/phenotype,Rapid neurologic deterioration,HPO,7307,effect/phenotype,Rapid neurologic deterioration,HPO,suggested_name,second_search_suggested_name,False
123,Batten,20260508-Batten_final.csv,Retinal degeneration,retinal pigment epithelium mottling,phenotype_phenotype,34532411,phenotype_phenotype,parent-child,546,effect/phenotype,Retinal degeneration,HPO,7814,effect/phenotype,Retinal pigment epithelial mottling,HPO,name,suggested_name,False
124,Batten,20260508-Batten_final.csv,Retinal degeneration,retinal vascular attenuation,phenotype_phenotype,34532411,phenotype_phenotype,parent-child,546,effect/phenotype,Retinal degeneration,HPO,7843,effect/phenotype,Attenuation of retinal blood vessels,HPO,name,suggested_name,False
125,Batten,20260508-Batten_final.csv,neurodegenerative diseases,frontotemporal lobar degeneration,disease_disease,34618685,disease_disease,parent-child,R-HSA-8863678,pathway,Neurodegenerative Diseases,REACTOME,11842,disease,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,MONDO,name,suggested_name,False
126,Batten,20260508-Batten_final.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,progressive gait abnormality,disease_phenotype_positive,34679057,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,7240,effect/phenotype,Progressive gait ataxia,HPO,suggested_name,suggested_name,False
127,Batten,20260508-Batten_final.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,hypermetria,disease_phenotype_positive,34679057,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,8499,effect/phenotype,High hypermetropia,HPO,suggested_name,suggested_name,False
128,Batten,20260508-Batten_final.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,proprioceptive deficits,disease_phenotype_positive,34679057,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,10831,effect/phenotype,Impaired proprioception,HPO,suggested_name,suggested_name,False
129,Batten,20260508-Batten_final.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,reduced patellar reflex,disease_phenotype_positive,34679057,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,11808,effect/phenotype,Decreased patellar reflex,HPO,suggested_name,suggested_name,False
130,Batten,20260508-Batten_final.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,ataxia,disease_phenotype_positive,34679057,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,1251,effect/phenotype,Ataxia,HPO,suggested_name,name,True
131,Batten,20260508-Batten_final.csv,Adult-Onset Neuronal Ceroid Lipofuscinosis,visual deficits,disease_phenotype_positive,34679057,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,32037,effect/phenotype,Mildly reduced visual acuity,HPO,suggested_name,suggested_name,False
138,Batten,20260508-Batten_final.csv,SPG11,gait disturbance,disease_phenotype_positive,35605667,disease_phenotype_positive,phenotype present,80208,gene/protein,SPG11,NCBI,1288,effect/phenotype,Gait disturbance,HPO,name,name,False
139,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,hereditary spastic paraplegia type 2,disease_disease,35605667,disease_disease,parent-child,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,14302_12928_14568_12867_12766_13132_13239_11489_11785_11339_14304_10044_13962_11408_14018_12213_14644_12448_12787_14282_11532_12866_11445_14015_12639_12181_14295_8438_13552_14020_10043_11803_13165_13551_13342_11006_10047_14882_14016_12476_10287_12256_13048_10418_13179_14729_13401_10046_14303_11992_13737_11522_14024_12334_12453_8437_12643_10733_11862_14305_10878_19064,disease,hereditary spastic paraplegia,MONDO_grouped,suggested_name,suggested_name,False
140,Batten,20260508-Batten_final.csv,SPG11,abnormalities in gait coordination,disease_phenotype_positive,35605667,disease_phenotype_positive,phenotype present,80208,gene/protein,SPG11,NCBI,7010,effect/phenotype,Poor fine motor coordination,HPO,name,cui_xref,False
141,Batten,20260508-Batten_final.csv,SPG11,ataxia,disease_phenotype_positive,35605667,disease_phenotype_positive,phenotype present,80208,gene/protein,SPG11,NCBI,1251,effect/phenotype,Ataxia,HPO,name,name,False
143,Batten,20260508-Batten_final.csv,SPG11,neuroinflammation,disease_phenotype_positive,35605667,disease_phenotype_positive,phenotype present,80208,gene/protein,SPG11,NCBI,33429,effect/phenotype,Neuroinflammation,HPO,name,name,False
145,Batten,20260508-Batten_final.csv,Infantile neuronal ceroid lipofuscinosis,PPT1,disease_protein,35628400,disease_protein,associated with,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,5538,gene/protein,PPT1,NCBI,name,name,True
146,Batten,20260508-Batten_final.csv,Infantile neuronal ceroid lipofuscinosis,seizures,disease_phenotype_positive,35628400,disease_phenotype_positive,phenotype present,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,1250,effect/phenotype,Seizure,HPO,name,cui_xref,False
149,Batten,20260508-Batten_final.csv,ZDHHC8,NFATC4,protein_protein,35150145,protein_protein,ppi,29801,gene/protein,ZDHHC8,NCBI,4776,gene/protein,NFATC4,NCBI,name,name,False
150,Batten,20260508-Batten_final.csv,ZDHHC4,NFATC4,protein_protein,35150145,protein_protein,ppi,55146,gene/protein,ZDHHC4,NCBI,4776,gene/protein,NFATC4,NCBI,name,name,False
151,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,neurodegeneration,disease_phenotype_positive,34868216,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,2180,effect/phenotype,Neurodegeneration,HPO,suggested_name,name,True
152,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,motor impairment,disease_phenotype_positive,34868216,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,4302,effect/phenotype,Functional motor deficit,HPO,suggested_name,suggested_name,False
154,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,seizures,disease_phenotype_positive,34868216,disease_phenotype_positive,phenotype present,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,suggested_name,second_search_suggested_name,False
156,Batten,20260508-Batten_final.csv,juvenile neuronal ceroid lipofuscinoses,CLN6,disease_protein,34868216,disease_protein,associated with,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,54982,gene/protein,CLN6,NCBI,suggested_name,name,True
157,Batten,20260508-Batten_final.csv,lysosomal storage diseases,Neuronal ceroid lipofuscinoses,disease_disease,34910516,disease_disease,parent-child,2561,disease,lysosomal storage disease,MONDO,8083_13866_12588_12391_11144_12188_12414_8767_8769_10830_14147_10378_9744_9745_16295_1011570_1011571_1011578_1011577_1011568_1011430_1010879_1010880_1010881_1010885_1010886_1010887_1010888_1010889_1010890_1010891_1010892_1010893_1010894_1010899_1010900_1010901_1010903_1011569_1011572_1011573_1011574_1011575_1011576_1012707,disease,neuronal ceroid lipofuscinosis,MONDO_grouped,new_cui,suggested_name,False
158,Batten,20260508-Batten_final.csv,late-infantile neuronal ceroid lipofuscinoses,retinal degeneration,disease_phenotype_positive,34910516,disease_phenotype_positive,phenotype present,2561_1011459_1011980_19261,disease,infantile neuronal ceroid lipofuscinosis,MONDO_grouped,546,effect/phenotype,Retinal degeneration,HPO,suggested_name,name,False
