Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
50,1495,collagenous colitis,missing,,no,16661.0,yes,collagenous colitis,0.98,2.0,16661|23359,collagenous colitis || collagenous gastritis,,C4040043,collagenous gastritis
52,1501,toxic labyrinthitis,missing,,no,15759.0,pending,name decided later,0.98,3.0,15759|17741|19050,toxic labyrinthitis,,C0155507,toxic labyrinthitis
53,1501,toxic labyrinthitis,missing,,no,15759.0,pending,name decided later,0.98,3.0,15759|17741|19050,toxic optic neuropathy,,C0155303,toxic optic neuropathy
54,1501,toxic labyrinthitis,missing,,no,15759.0,pending,name decided later,0.98,3.0,15759|17741|19050,toxic maculopathy,,C0271086,toxic maculopathy
55,1518,mastoiditis,missing,,no,16852.0,yes,mastoiditis,0.98,2.0,11559|16852,mastitis || mastoiditis,,C0024894,mastitis
55,1518,mastoiditis,missing,,no,16852.0,yes,mastoiditis,0.98,2.0,11559|16852,mastitis || mastoiditis,,C0024904,mastoiditis
57,1587,pulmonary sarcoidosis,missing,,no,17641.0,yes,pulmonary sarcoidosis,0.98,4.0,17641|17874|18640|23892,pulmonary sarcoidosis || cardiac sarcoidosis || cerebral sarcoidosis || pulmonary amyloidosis,,C0036205,pulmonary sarcoidosis
57,1587,pulmonary sarcoidosis,missing,,no,17641.0,yes,pulmonary sarcoidosis,0.98,4.0,17641|17874|18640|23892,pulmonary sarcoidosis || cardiac sarcoidosis || cerebral sarcoidosis || pulmonary amyloidosis,,C0392077,cardiac sarcoidosis
57,1587,pulmonary sarcoidosis,missing,,no,17641.0,yes,pulmonary sarcoidosis,0.98,4.0,17641|17874|18640|23892,pulmonary sarcoidosis || cardiac sarcoidosis || cerebral sarcoidosis || pulmonary amyloidosis,,C0398676,cerebral sarcoidosis
57,1587,pulmonary sarcoidosis,missing,,no,17641.0,yes,pulmonary sarcoidosis,0.98,4.0,17641|17874|18640|23892,pulmonary sarcoidosis || cardiac sarcoidosis || cerebral sarcoidosis || pulmonary amyloidosis,,C0700376,pulmonary amyloidosis
