node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert,group_id_source
31010,disease,odontochondrodysplasia 2 with hearing loss and diabetes,MONDO,odontochondrodysplasia,odontochondrodysplasia,31010_100325_31169,bert_join
32581,disease,"nephrotic syndrome, type 18",MONDO,nephrotic syndrome,nephrotic syndrome,33262_10974_33280_30895_14817_14818_31061_9733_14373_32580_32581_26726_14099_31008_13619_12546_32826_32582_14257_30962_33203_14752_5377_1010261_44781_43156_1011047_1011048,bert_join
14986,disease,Fanconi anemia complementation group R,MONDO,Fanconi anemia complementation group,Fanconi anemia complementation group,14986_14987_10351_10953_13565_9213_12565_13248_12187_13499_14108_44325_54748_11325_9214_14985_9215_11584_12186_13566_14638,legacy_exact_members
11901,disease,Charcot-Marie-Tooth disease axonal type 2H,MONDO,Charcot-Marie-Tooth disease axonal,Charcot-Marie-Tooth disease,11916_11569_10877_10699_13959_7308_7309_700338_14736_14836_12096_11085_10551_11633_14012_7307_14060_13212_10550_9417_10949_11894_11534_11527_11890_13644_11475_11066_14208_11901_7311_11902_11113_8388_11903_10689_14117_12250_8961_11687_12640_13753_12231_11889_14511_11570_14726_11091_7790_14733_14566_10995_14866_14735_14665_19011_18993_15626_18995_18994_16869_16454_3959_3962_44640,bert_join
8798,disease,nonsyndromic congenital nail disorder 4,MONDO,nonsyndromic congenital nail disorder,nonsyndromic congenital nail disorder,8798_8060_7135_11595_7867_7900_11852_13592_8125,legacy_exact_members
13401,disease,hereditary spastic paraplegia 51,MONDO,hereditary spastic paraplegia,hereditary spastic paraplegia,14302_12928_14568_12867_12766_13132_13239_11489_11785_11339_14304_10044_13962_11408_14018_12213_14644_12448_12787_14282_11532_12866_11445_14015_12639_12181_14295_8438_13552_14020_10043_11803_13165_13551_13342_11006_10047_14882_14016_12476_10287_12256_13048_10418_13179_14729_13401_10046_14303_11992_13737_11522_14024_12334_12453_8437_12643_10733_11862_14305_10878_19064,legacy_exact_members
9270,disease,genito-palato-cardiac syndrome,MONDO,genito-palato-cardiac syndrome,genito-palato-cardiac syndrome,,
13520,disease,"dyskeratosis congenita, autosomal recessive 3",MONDO,"dyskeratosis congenita, autosomal recessive","dyskeratosis congenita, autosomal recessive",9136_14076_13520_14600_13519_859319_27353_800370,bert_join
13402,disease,retinitis pigmentosa 27,MONDO,retinitis pigmentosa,retinitis pigmentosa,19200_13469_10259_8377_13395_13052_11137_10320_12477_12943_13468_54708_12625_11272_12813_14186_14345_14093_8379_12523_859308_8378_14871_44314_13429_36482_32834_30071_13175_12363_13402_14323_14692_13314_32577_32940_13414_14929_10945_859367_10818_13437_13315_10806_13425_13405_10828_13516_13413_11935_13436_14850_44320_15013_13610_14400_12796_13407_10761_957314_32604_13611_12463_12367_32689_13447_10827_13263_14687_11075_12024_14618_13312_30797_13328_910_10227_11974_11630_14653_13274_14256_10723_30619_32873_33563_13780_1010334_1011259_800328_9982_10374_11259_800348_800352_800359_975840_1011258_1011276_1060144,bert_join
11334,disease,limb-mammary syndrome,MONDO,limb-mammary syndrome,limb-mammary syndrome,,
8426,disease,Shprintzen-Goldberg syndrome,MONDO,Shprintzen-Goldberg syndrome,paroxysmal dyskinesia,8426_15427,bert_join
12629,disease,paroxysmal nonkinesigenic dyskinesia 2,MONDO,paroxysmal nonkinesigenic dyskinesia,paroxysmal nonkinesigenic dyskinesia,12629_700089_700088,bert_join
7792,disease,familial hypocalciuric hypercalcemia 2,MONDO,familial hypocalciuric hypercalcemia,familial hypocalciuric hypercalcemia,18458_7791_10926_7792,legacy_exact_members
14514,disease,"aortic aneurysm, familial thoracic 9",MONDO,"aortic aneurysm, familial thoracic","aortic aneurysm, familial thoracic",14950_14187_14514_13418_7568_12730_30731_44301_24559_11770,bert_join
31002,disease,Baralle-Macken syndrome,MONDO,Baralle-Macken syndrome,Baralle-Macken syndrome,,
8409,disease,"congenital myopathy 7A, myosin storage, autosomal dominant",MONDO,congenital myopathy,congenital myopathy,18528_957215_859517_859515_859264_12240_12239_8409_34109_859335_8070_957247_13890_957265_800341_859523_859514_957224_19952_1010196_1010918_1011804_16049_975808_1010919_1012454_1012822,bert_join
