entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
transbilayer transport of some hydrophobic molecules,biological_process,no,,
transport of unesterified cholesterol,biological_process,no,,
transporting molecules in the cell,biological_process,no,,
trihydroxycholanic acid glycinate,protein/gene,no,,
underlying molecular pathophysiology,pathology,no,,
unesterified sphingolipids.,phenotype,no,,
unusual urinary metabolite profiles,phenotype,no,,
unwarranted anger,phenotype,no,,
urinary branched-chain amino acids,phenotype,no,,
urinary valine,phenotype,no,,
vertical supranuclear saccade palsy,phenotype,no,,
visceral enlargement,phenotype,no,,
visceral manifestations,phenotype,no,,
visceral organ damage,phenotype,no,,
weakened muscular contraction,phenotype,no,,
widespread neurodegeneration,phenotype,no,,
β-amyloid peptide,phenotype,no,,
