entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
lower oxidative stress,phenotype,no,,
lower phosphatidylcholine ratio in mitochondria,phenotype,no,,
lower phosphatidylethanolamine ratio in mitochondria,phenotype,no,,
lowered smooth pursuit gain,phenotype,yes,Impaired smooth pursuit,C1837458
lyso-sphingolipids,biological_process | phenotype,no,,
lysomsomal storage disorder,disease,no,,
lysosomal accessible cholesterol,phenotype,no,,
lysosomal accumulation of cholesterol,phenotype,no,,
lysosomal accumulation of unesterified cholesterol,phenotype,no,,
lysosomal bis(monoacylglycero)phosphate hydrolase,molecular_function,no,,
lysosomal cholesterol accumulation,phenotype,no,,
lysosomal cholesterol crystals solubilizer,phenotype,no,,
lysosomal cholesterol handling,biological_process,no,,
lysosomal cholesterol homeostasis,biological_process | phenotype,yes,cholesterol homeostasis,C1326960
lysosomal cholesterol trafficking pathway,biological_process | pathway,no,,
lysosomal differentially expressed proteins,cellular_component,no,,
lysosomal dysfunction,phenotype,no,,
lysosomal leakage,phenotype,no,,
lysosomal lipid accumulation,phenotype,no,,
lysosomal lipid storage,disease,no,,
lysosomal lipid storage disease,disease,no,,
lysosomal membrane permeabilization,biological_process | phenotype,no,,
lysosomal storage defects,disease,no,,
lysosome abundance,phenotype,no,,
lysosome cholesterol accumulation,phenotype,no,,
lysosome dysfunction,phenotype,no,,
lysosome limiting membrane,cellular_component,no,,
lysosome tubulation,phenotype,no,,
lysosome-dependent cell death,phenotype,no,,
lysosphingomyelin-509,phenotype,no,,
macrophage efferocytosis,biological_process,no,,
maintain normal lipid metabolism,biological_process,no,,
massive accumulation of cholesterol within cells,phenotype,no,,
massive increase in autophagosomes,phenotype,no,,
mature lymphocyte depletion,phenotype,no,,
mature neuronal cells,anatomy,no,,
metabolic collapse,phenotype,no,,
metabolic irregularities,phenotype,no,,
metabolite characteristics,phenotype,yes,Abnormal tissue metabolite concentration,C5139219
metabolize cholesterol overload,biological_process,no,,
microglia ameboid form,phenotype,yes,Abnormal microglia morphology,C4021990
microglia gastrosome expansion,phenotype | protein/gene,no,,
microglial function,biological_process,no,,
microglial homeostasis,phenotype,no,,
mild neutrophilia.,phenotype,yes,Abnormal neutrophil morphology,C0856003
"mild, intermediate, and severe clinical forms",phenotype,no,,
mildly delayed myelination,phenotype,yes,Delayed myelination,C1277241
missense change,phenotype,no,,
missing adhesio interthalamica,phenotype,no,,
mitigate the activation of glial cells,phenotype,no,,
mitochondrial cholesterol accumulation,pathology | phenotype,no,,
mitochondrial cytotoxicity,phenotype,no,,
mitochondrial dyshomeostasis,phenotype,no,,
mitochondrial insufficiency,phenotype,no,,
mitochondrial-lysosomal contacts,cellular_component,no,,
mitocondrial differentially expressed proteins,protein/gene,no,,
mo56-hydroxycholesterol,GRAS/Excipient/prodrug,no,,
motor decline,phenotype,yes,Motor deterioration,C1866284
movement dyscoordination,phenotype,no,,
multiple lipid species accumulate,phenotype,no,,
multiple sphingolipids,phenotype,no,,
mycobacterial cell wall lipids,exposure,no,,
myelin debris,molecular_function,no,,
nanostructural disease,disease,no,,
nanostructural ion channel clustering disease,disease,no,,
neurite extension failure,phenotype,no,,
neuro lament light,protein/gene,no,,
neuro-psychiatric symptoms,phenotype,no,,
neuro-visceral disease,disease,no,,
neuro-visceral lipid storage disease,disease,yes,neutral lipid storage disease,C5848057
neurodegenerative cholesterol,disease,no,,
neurodegenerative form,phenotype,no,,
neurodegenerative lysosomal disease,disease,yes,lysosomal disease with epilepsy,C5680898
neurodegenerative lysosomal lipid storage disorder,phenotype,no,,
neurodegenerative lysosomal storage disease,disease,no,,
neurodegenerative lysosomal storage disorder,disease | phenotype,yes,lysosomal storage disease,C0085078
neurodevelopmental dynamics,phenotype,no,,
neurofibrillary tangle pathology,pathology,no,,
neurogenetic disease,disease,yes,neurometabolic disease,C5681332
neurological characteristics,phenotype,no,,
neurological manifestation prevention,phenotype,no,,
neurological non-enzymatic disorders,disease,no,,
neuronal cholesterol turnover,biological_process,no,,
neuronal injury,phenotype,no,,
neuronal network formation,biological_process,no,,
neuroprotective factor production,biological_process,no,,
neuropsychiatric issues,phenotype,no,,
neuropsychiatric manifestations,phenotype,no,,
neuropsychiatric signs,phenotype,no,,
neurotoxic elevations,phenotype,no,,
neurovisceral lipid storage disease,disease,yes,neutral lipid storage disease,C5848057
neurovisceral lipid storage disorder,phenotype,no,,
neurovisceral lysosomal lipid storage disorder,disease,no,,
neurovisceral manifestations,phenotype,no,,
neurovisceral symptoms,phenotype,yes,Acute episodes of neuropathic symptoms,C1867971
nigrostriatal circuit,anatomy,no,,
nitrobenzoxadiazole-phospholipids,lipid,no,,
no significant improvement in lifespan,phenotype,no,,
non-lysosomal b-glucosylceramidase,protein/gene,no,,
non-selective chloride channel blockers,drug,no,,
nonspecific periventricular hypersignal intensity,phenotype,yes,Punctate periventricular T2 hyperintense foci,C4022658
normalized ganglioside,phenotype,no,,
normalized intracellular cholesterol trafficking,cellular_component,no,,
normalized the level of pro-inflammatory cytokines,phenotype,no,,
ocular-motor dysfunction,phenotype,no,,
oculomotor dysfunction,phenotype,no,,
older age at the neurological symptom onset,phenotype,no,,
oligodendrocyte lineage maturation,biological_process,no,,
oligodendrocyte progenitor differentiation,biological_process,no,,
oncosterone,phenotype,no,,
oncosterone production,phenotype,no,,
organ biodistribution,biological_process,no,,
