entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
multiple lysosomal tubules formation,biological_process | protein/gene,no,,
mutant retinas,anatomy,yes,retina,C0035298
myenteric plexus neuron loss,phenotype,no,,
neural circuit dysfunction,phenotype,no,,
neurocognitive deterioration,phenotype,no,,
neurodegenerative condition,disease,no,,
neurodegenerative conditions,disease,no,,
neurodegenerative lysosomal storage disorder,disease,yes,lysosomal storage disease,C0085078
neurodegenerative lysosomal storage disorders,disease,yes,lysosomal storage disease,C0085078
neurodegenerative metabolic disease,disease,no,,
neurodegenerative phenotype,phenotype,no,,
neurodegenerative phenotypes,phenotype,no,,
neurodevelopmental alterations,phenotype,no,,
neurodevelopmental and neurodegenerative disorder,disease,yes,complex neurodevelopmental disorder,C5568766
neuroinflammatory trajectory,phenotype,no,,
neuromuscular degeneration,phenotype,no,,
neuronal autofluorescent ceroid-lipofuscin accumulation,phenotype,no,,
neuronal ceroid lipofuscinoses condition,disease,no,,
neuropathological phenotypes,phenotype,no,,
neuroprotective properties,phenotype,no,,
non-syndromic macular dystrophy,phenotype,no,,
novel lysosomal storage disease,disease,no,,
ocular phenotype,phenotype,no,,
ombination of at least one severe variant with a moderate one,phenotype,no,,
open reading frame correction,phenotype,no,,
oxysterol-binding protein inhibitor,drug,no,,
palmitoyl-protein thioesterase 1 deficiency,phenotype,no,,
palmitoylation-depalmitoylation cycles,biological_process,no,,
partially rescued aberrant synaptic calcium dynamics,phenotype,no,,
pediatric dementia syndrome,disease,no,,
pediatric rare neurometabolic diseases,disease,no,,
peripapillary retinal nerve fiber layer degeneration,phenotype,no,,
photoreceptor outer segment phagocytosis defect,biological_process,no,,
photoreceptor to bipolar synaptic defects,phenotype,no,,
photosensitivity at low and higher frequencies,phenotype,no,,
pigment-containing macrophages,pathology,no,,
plants demonstrating reduced astrocyte activation,drug,no,,
plants with anti-neuro-inflammatory action,drug,no,,
postural vertical nystagmus,phenotype,no,,
premature death in adolescence,phenotype,no,,
prevent language decline,phenotype,yes,Progressive language deterioration,C1843793
prevent motor decline,phenotype,yes,Delayed fine motor development,C4023681
prevented bowel distention,phenotype,no,,
prevented bowel transit defect,phenotype,no,,
prevented tremors,phenotype,no,,
prevented vesicle trafficking,phenotype,no,,
progranulin deficiency,molecular_function | phenotype | protein/gene,no,,
progranulin insufficiency,phenotype,no,,
progressive atrophy of the outer retinal layers,phenotype,no,,
progressive brain deterioration,phenotype,no,,
progressive deterioration of cognitive abilities,phenotype,no,,
progressive gait abnormality,phenotype,yes,Progressive gait ataxia,C1843885
progressive global brain atrophy,phenotype,no,,
progressive neurological decline,phenotype,no,,
progressive psychomotor developmental retardation,phenotype,no,,
progressive regionally defined glial activation,phenotype,no,,
progressive retinal deterioration,phenotype,no,,
prominent retinal,phenotype,no,,
prominent storage body accumulation,phenotype,no,,
psychomotor behavioral outcomes,pathology,no,,
rapid degeneration of the caudate nucleus,phenotype,no,,
reduce neurological disease burden,phenotype,no,,
reduced astroglial activation,biological_process,no,,
reduced attenuated reactive astrogliosis,phenotype,no,,
reduced cell viability,biological_process,no,,
reduced disease-associated pathology,phenotype,no,,
reduced enzymatic activity,biological_process,no,,
reduced gliosis,phenotype,no,,
reduced lifespans,phenotype,no,,
reduced lysosomal autofluorescent storage material accumulation,phenotype,no,,
reduced lysosomal globotriaosylceramide accumulation,biological_process,no,,
reduced lysosomal glycerophosphodiester accumulation,biological_process,no,,
reduced lysosomal storage material,phenotype,no,,
reduced microglial activation,biological_process,no,,
reduced neurodegeneration,phenotype,no,,
reduced neuroinflammation,phenotype,no,,
reduced neurological decline,phenotype,yes,Progressive neurologic deterioration,C1854838
reduced oxidative stress,biological_process,no,,
reduced pain threshold,phenotype,no,,
reduced pain-related neuropeptides,protein/gene,no,,
reduced patellar reflex,phenotype,yes,Decreased patellar reflex,C3277184
reduced photoreceptor outer segment binding,biological_process,no,,
reduced retinal dysfunction,phenotype,no,,
reduced scotopic and photopic electroretinographic waveforms,phenotype,no,,
reduced strength during walking,phenotype,yes,Loss of ability to walk,C2674511
reduced the mitochondrial reactive oxygen spices,phenotype,no,,
reduced α-synuclein aggregation,biological_process,no,,
reduction in lipofuscin deposits,phenotype,no,,
reduction in microglia infiltration,phenotype,no,,
reduction in retina thinning,phenotype,no,,
rescued autophagy,biological_process,no,,
rescued locomotor impairment,phenotype,yes,non-syndromic limb reduction defect,C5680277
residual histopathology,phenotype,no,,
restored autophagy,biological_process,no,,
restored chemotaxis,phenotype,no,,
restored muscle strength,phenotype,no,,
retinal volume stable,phenotype,no,,
robust mismatch negativity response,phenotype,no,,
robust therapeutic benefit,phenotype,no,,
rod system dysfunction,phenotype,no,,
scattered drusen,phenotype,no,,
sequestosome 1/p62,protein/gene,no,,
severe cerebellum atrophy,phenotype,no,,
severe cortical atrophy,anatomy,no,,
severe reduction in heart rate,phenotype,no,,
sex-dependent myelination defect,phenotype,no,,
sharp fall in the number of lipid droplets,phenotype,no,,
significant atrophy of all retinal layers,phenotype,no,,
significant cortical atrophy,phenotype,no,,
slow brain volume loss,phenotype,no,,
slow deteriorated language function,phenotype,yes,Progressive language deterioration,C1843793
slow deteriorated motor function,phenotype,yes,Motor deterioration,C1866284
slow movement disorder progression,phenotype,yes,Progressive psychomotor deterioration,C1856565
slow supratentorial gray matter volume loss,phenotype,yes,Deep white matter hypodensities,C1856979
slowed language decline,protein/gene,no,,
slowed language function decline,phenotype,yes,Progressive language deterioration,C1843793
slowed motor decline,phenotype | protein/gene,yes,Motor deterioration,C1866284
slowed stereotypical brain atrophy,phenotype,no,,
small caudate volume,phenotype,no,,
small gray matter volume,phenotype,no,,
small intracranial volume,phenotype,no,,
small putamen volume,phenotype,no,,
soluble lysosomal enzymes,protein/gene,no,,
sortilin inhibitor,protein/gene,no,,
specific emotions and behaviou,phenotype,no,,
specific emotions and behaviour,phenotype,no,,
splice-switching antisense oligonucleotide,drug,no,,
spontaneous myoclonus,phenotype,no,,
stimulating pro-apoptotic signaling,biological_process,no,,
storage body accumulation,phenotype,no,,
storage lipid accumulation within neuronal lipofuscin,phenotype,yes,Increased cerebral lipofuscin,C4023177
stress granule dynamics,biological_process,no,,
sudden loss of consciousness,phenotype,no,,
surgical site swelling,pathology,no,,
symmetrical progressive atrophy of the cervical spinal cord,phenotype,no,,
symmetrical progressive atrophy of the whole brain,phenotype,no,,
sympathetic nervous system dysregulation,phenotype,no,,
synapse functions,biological_process,no,,
synaptic depletion of tethers,protein/gene,no,,
synaptic subcompartments,cellular_component,no,,
synaptic vesicle endocytic deficits,phenotype,no,,
thickening of inner nuclear layer,phenotype,no,,
thickening of the inner plexiform layer,phenotype,no,,
thinning of outer photoreceptor segments,phenotype,no,,
thinning of the whole retina,phenotype,no,,
thoght-related concerns,phenotype,no,,
toxic lysophospholipid accumulation,cellular_component,no,,
transacylation reaction,biological_process,no,,
transcutaneous vagal stimulation,drug,no,,
transient withdrawal of parasympathetic activity,phenotype,no,,
tumor microenvironment regulation,biological_process,no,,
ultrahigh frequency - transcutaneous electrical nerve stimulation,drug,no,,
unconventional secretory pathway,biological_process,no,,
unusual elevation of lyso-sphingomyelin-509,phenotype,no,,
unwillingness to cooperate,phenotype,no,,
various forms of abnormal movement.,phenotype,no,,
visual activity decline,phenotype,no,,
visual decline,phenotype,no,,
widespread gliosis,phenotype,no,,
wild-type hematopoietic stem and progenitor cells,Gene therapy,no,,
