Unnamed: 0,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name,entity1_expert_accepted,entity1_expert_suggested_name,entity1_expert_cui,entity1_expert_resolution,entity2_expert_accepted,entity2_expert_suggested_name,entity2_expert_cui,entity2_expert_resolution,mapping_version
196,Canavan disease,intramyelinic vacuoles,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C6016430,,Nonrimmed muscle vacuoles,Nonrimmed muscle vacuoles,,,,,False,Intramyelinic oedema,C5208224,not_accepted,v2_expert_merged
197,Canavan disease,edema,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
200,Canavan disease,delayed closure of the anterior fontanel,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C3840083,,Delayed closure of the anterior fontanelle,Delayed closure of the anterior fontanelle,,,,,,,,,v2_expert_merged
201,Canavan disease,optic atrophy,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
202,Canavan disease,spasticity,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
203,Canavan disease,seizures,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C0036572,,,,,,,,,,,,v2_expert_merged
204,Canavan disease,opisthotonus,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
205,Canavan disease,cerebral delayed posture,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C4703721,,Compensatory head posture,Compensatory head posture,,,,,False,Abnormal posture,C0231471,not_accepted,v2_expert_merged
208,posterior fossa,Canavan disease,anatomy,disease, anatomy_disease,39119446,C1116439,in_kg,,,,,,,,,,,,v2_expert_merged
209,corpus callosum genus,Canavan disease,anatomy,disease, anatomy_disease,39119446,C0010090|C0152321,in_kg,corpus callosum,,corpus callosum,,,,,,,,,v2_expert_merged
210,capsule,Canavan disease,anatomy,disease, anatomy_disease,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
211,Canavan disease,ASPA,disease,protein/gene,disease_protein,39128657,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
216,white matter,Canavan disease,anatomy,disease, anatomy_disease,39524158,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
224,leukodystrophy,Canavan disease,disease,disease,disease_disease,39628365,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
225,Canavan disease,ASPA,disease,protein/gene,disease_protein,39628365,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
227,Canavan disease,psychomotor deficits,disease,phenotype,disease_phenotype_positive,39628365,in_kg,C2921139|C4025360,,Functional motor deficit,Functional motor deficit,,,,,,,,,v2_expert_merged
228,Canavan disease,motor milestones,disease,phenotype,disease_phenotype_negative,39628365,in_kg,C3807655,,,,,,,,,,,,v2_expert_merged
233,Canavan disease,ASPA,disease,protein/gene,disease_protein,38740822,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
234,lethal neurological disorder,Canavan disease,disease,disease,disease_disease,38740822,C4225256|C4304741,in_kg,lethal Larsen-like syndrome,,lethal Larsen-like syndrome,,,,,,,,,v2_expert_merged
237,Canavan disease,ASPA,disease,protein/gene,disease_protein,38740822,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
241,Canavan disease,ASPA,disease,protein/gene,disease_phenotype_positive,38740822,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
242,Canavan disease,CRNDE,disease,protein/gene,disease_protein,38822362,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
248,neural stem cell,Canavan disease,Cell therapy,disease,drug_effect,34446995,C1113654,in_kg,,,,,,,,,,,,v2_expert_merged
250,Topiramate,Canavan disease,drug,disease,drug_effect,38582917,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
