cas_reg_no,umls_cui,relationship_name
155213-67-5,C0524910,indication
366789-02-8,C0149871,indication
123441-03-2,C0750901,indication
144034-80-0,C0338480,indication
91374-21-9,C0030567,indication
91374-21-9,C0035258,indication
122320-73-4,C0011860,indication
287714-41-4,C0948089,indication
287714-41-4,C0004153,indication
287714-41-4,C0010068,indication
287714-41-4,C0020445,indication
287714-41-4,C0020473,indication
287714-41-4,C0524620,indication
287714-41-4,C0151744,indication
99755-59-6,C0030567,indication
99755-59-6,C0035258,indication
99755-59-6,C0030569,indication
89365-50-4,C0004096,indication
89365-50-4,C0008677,indication
89365-50-4,C0024117,indication
79617-96-2,C1269683,indication
79617-96-2,C0011570,indication
79617-96-2,C0588008,indication
923604-59-5,C0019196,indication
923604-59-5,C0524910,indication
79902-63-9,C0004153,indication
79902-63-9,C0010068,indication
79902-63-9,C0020473,indication
486460-32-6,C0011847,indication
1190307-88-0,C1623038,indication
1190307-88-0,C0019196,indication
1190307-88-0,C0524910,indication
242478-37-1,C0878773,indication
284461-73-0,C0279607,indication
284461-73-0,C2239176,indication
52-01-7,C0018801,indication
557795-19-4,C2931852,indication
1030377-33-3,C0033139,indication
104987-11-3,C0024143,indication
104987-11-3,C0003873,indication
171596-29-5,C0242350,indication
209860-87-7,C0339573,indication
106133-20-4,C1456865,indication
3424-98-4,C0019163,indication
3424-98-4,C0524909,indication
144701-48-4,C0085580,indication
144701-48-4,C0524620,indication
1234423-95-0,C0085681,indication
147127-20-6,C0019163,indication
147127-20-6,C0524909,indication
52232-67-4,C0029453,indication
52232-67-4,C0029456,indication
52232-67-4,C0029458,indication
5949-44-0,C0020619,indication
58-22-0,C0242350,indication
58-22-0,C0020594,indication
58-22-0,C0020619,indication
274693-27-5,C1956346,indication
274693-27-5,C0027051,indication
26839-75-8,C0017601,indication
26839-75-8,C0339573,indication
186691-13-4,C0024117,indication
144494-65-5,C1536220,indication
32986-56-4,C0010674,indication
124937-51-5,C0878773,indication
97240-79-4,C0005586,indication
97240-79-4,C0338480,indication
97240-79-4,C0014544,indication
97240-79-4,C0028768,indication
157283-68-6,C0017601,indication
302-79-4,C0702166,indication
302-79-4,C0023418,indication
124-94-7,C0035455,indication
128-13-2,C0008370,indication
137862-53-4,C0085580,indication
137862-53-4,C0524620,indication
1404-90-6,C0032285,indication
249296-44-4,C0028043,indication
249296-44-4,C0040332,indication
93413-69-5,C0011570,indication
93413-69-5,C0588008,indication
129497-78-5,C0242383,indication
57-22-7,C0023453,indication
137234-62-9,C0004030,indication
137234-62-9,C0006840,indication
81-81-2,C0149871,indication
81-81-2,C0034065,indication
81-81-2,C0007787,indication
146939-27-7,C0005587,indication
146939-27-7,C0036337,indication
118072-93-8,C0026764,indication
118072-93-8,C0007131,indication
118072-93-8,C0029453,indication
118072-93-8,C0029458,indication
139264-17-8,C0338480,indication
82626-48-0,C0021603,indication
68291-97-4,C0014544,indication
43200-80-2,C0033139,indication
