entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,integratable
brain capillary endothelial cells,2-hydroxypropyl-beta-cyclodextrin.,anatomy,drug,anatomy_protein_present,36431844,C1180238,C0046237,True
2-hydroxypropyl-beta-cyclodextrin.,primary rat brain endothelial cells,drug,anatomy,drug_effect,36431844,C0046237,C0225336,True
Niemann-Pick disease type C,lysosomal lipid storage,disease,disease,disease_disease,36455410,in_kg,C0085078,True
2-hydroxypropyl-ß-cyclodextrin,allopregnanolone,drug,protein/gene,drug_protein,36614015,C0046237,C0086244,True
2-hydroxypropyl-ß-cyclodextrin,miglustat,drug,drug,drug_drug,36614015,C0046237,in_kg,True
Niemann-Pick Disease Type C,late endosome tubulation,disease,phenotype,disease_phenotype_negative,36861884,in_kg,C4328966,True
late endosome tubulation,StARD9,biological_process,protein/gene,bioprocess_protein,36861884,C4328966,in_kg,True
late endosome tubulation,NPC1,biological_process,protein/gene,bioprocess_protein,36861884,C4328966,in_kg,True
Niemann-Pick Disease Type C,extends lifespan,disease,phenotype,disease_phenotype_positive,36920149,in_kg,C0870809,True
Lithium,improved feeding phenotypes,drug,phenotype,drug_effect,37128603,in_kg,C0015745,True
NPC1,intracellular trafficking of cholesterol,protein/gene,biological_process,bioprocess_protein,37245481,in_kg,C2749801,True
NPC1,cholesterol egress,protein/gene,biological_process,bioprocess_protein,37440478,in_kg,C2246761,True
NPC2,cholesterol egress,protein/gene,biological_process,bioprocess_protein,37440478,in_kg,C2246761,True
Niemann-Pick disease type C1,intracellular sphingolipid transport,disease,biological_process,bioprocess_protein,37423302,C3179455,C1148655,True
NPC1,lysosome limiting membrane,protein/gene,cellular_component,cellcomp_protein,37423302,in_kg,C0230812,True
Niemann-Pick disease type C,lysosomal lipid storage disease,disease,disease,disease_disease,37480097,in_kg,C0085078,True
miglustat,glucosylceramide synthase competitive inhibitor,drug,phenotype,drug_effect,37480097,in_kg,C4075566,True
Niemann-Pick Type C disease,nanostructural ion channel clustering disease,disease,disease,disease_disease,37507375,C0220756,C1720983,True
elevations in mitochondrial caltrium,neurotoxicity,phenotype,phenotype,phenotype_phenotype,37507375,C5887225,C0235032,True
Niemann-Pick disease type C,progressive major organ failure,disease,phenotype,disease_phenotype_positive,37670901,in_kg,C0026766,True
cerebrospinal fluid neurodegeneration,Tau protein,protein/gene,protein/gene,protein_protein,37670901,C0007806,C0085401,True
Niemann-Pick Disease Type C,fatal neurodegenerative condition,disease,phenotype,disease_phenotype_positive,38254990,in_kg,C0524851,True
Fut2,elevated levels of reactive oxygen species,protein/gene,phenotype,phenotype_protein,38550777,in_kg,C4476796,True
S-Adenosyl-L-methionine,improves the decline of locomotor activity,drug,phenotype,drug_effect,38599016,C3895949,C5452884,True
chloride channel inhibitors,reduced cytokine production,drug,phenotype,drug_effect,38645072,C1153083,C1371550,True
Celecoxib,restored cell viability,drug,phenotype,drug_effect,38821960,in_kg,C1516362,True
memantine,restored cell viability,drug,phenotype,drug_effect,38821960,in_kg,C1516362,True
Niemann-Pick disease type A,enzyme acid sphingomyelinase deficiency,disease,phenotype,disease_phenotype_positive,38826605,C0268242,C5243927,True
Niemann-Pick disease type B,enzyme acid sphingomyelinase deficiency,disease,phenotype,disease_phenotype_positive,38826605,C0268243,C5243927,True
Niemann-Pick disease type A,enzyme acid sphingomyelinase deficiency,disease,phenotype,disease_phenotype_positive,38826605,C0268242,C5243927,True
Niemann-Pick disease type A,lipid-laden foamy macrophages,disease,phenotype,disease_phenotype_positive,38826605,C0268242,C0333738,True
Niemann-Pick Disease Type C1,impaired lysosomal function,disease,phenotype,disease_phenotype_positive,39048052,C3179455,C1371708,True
NPC1,cholesterol acquisition,protein/gene,biological_process,bioprocess_protein,39183751,in_kg,C2611279,True
primary endothelial cells,NPC1,anatomy,protein/gene,anatomy_protein_present,39183751,C0225336,in_kg,True
Amyloid Precursor Protein,exacerbated interferon signaling,protein/gene,phenotype,phenotype_protein,39202426,C0085151,C5883586,True
Niemann-Pick type C1 disease,impaired intracellular cholesterol trafficking,disease,phenotype,disease_phenotype_positive,39207850,C3179455,C2749801,True
Niemann-Pick Disease Type C,psychiatric alterations,disease,phenotype,disease_phenotype_positive,39443481,in_kg,C1306597,True
CTEP,psychiatric anomalies,drug,phenotype,indication,39443481,C3641000,C1306597,True
U18666A,cancer cell pyroptosis,drug,biological_process,drug_bioprocess,41013744,C0077608,C2610960,True
U18666A,human hematologic and solid cancers,drug,disease,indication,41013744,C0077608,C0376545,True
NPC1,altered metabolites,protein/gene,phenotype,phenotype_protein,39452896,in_kg,C5139220,True
Niemann-Pick Disease Type C,plasma phosphorylated-tau217,disease,protein/gene,disease_protein,39502943,in_kg,C5976210,True
Niemann-Pick Disease Type C,neurofibrillary tangle pathology,disease,pathology,disease_phenotype_positive,39502943,in_kg,C3543859,True
plasma phosphorylated-tau217,disease progression,protein/gene,phenotype,phenotype_protein,39502943,C5976210,C0242656,True
plasma phosphorylated-tau217,age at disease onset,protein/gene,phenotype,phenotype_protein,39502943,C5976210,C6054024,True
NPC1,macrophage efferocytosis,protein/gene,biological_process,phenotype_protein,39547438,in_kg,C1523908,True
Niemann-Pick Disease Type C1,impaired intracellular cholesterol trafficking,disease,phenotype,disease_phenotype_positive,39688135,C3179455,C2749801,True
Niemann-Pick Disease Type C,choroid plexus enlargement,disease,phenotype,disease_phenotype_positive,39689839,in_kg,C5788142,True
neuroinflammation,choroid plexus enlargement,pathology,phenotype,pathology_phenotype,39689839,in_kg,C5788142,True
extensive hypometabolism,cerebellum,pathology,anatomy,pathology_anatomy_present,40009086,C0347938,in_kg,True
extensive hypometabolism,thalamus,pathology,anatomy,pathology_anatomy_present,40009086,C0347938,C0039729,True
extensive hypometabolism,frontotemporal areas,pathology,anatomy,pathology_anatomy_present,40009086,C0347938,C4330011,True
NPC1,lipid transport pathway,protein/gene,biological_process,bioprocess_protein,40257496,in_kg,C0596846,True
amphipathic peptide,improved cholesterol efflux,drug,biological_process,drug_bioprocess,40301465,C0537277,C2246761,True
Niemann Pick Type C,coginitive decline,disease,phenotype,disease_phenotype_positive,40525490,C0220756,C0338656,True
Niemann Pick Type C,gelastic cataplexy,disease,phenotype,disease_phenotype_positive,40525490,C0220756,C0007384,True
Niemann-Pick disease type C,cognitive performance deterioration,disease,phenotype,disease_phenotype_positive,40701909,in_kg,C0338656,True
efavirenz,preservation of executive control,drug,phenotype,drug_effect,40701909,in_kg,C0935584,True
Niemann-Pick disease type C,impairment of verbal fluency,disease,phenotype,disease_phenotype_positive,40701909,in_kg,C0751514,True
nigrostriatal circuit,Parkinson's disease,anatomy,disease,anatomy_disease,40737317,C0815010,C0030567,True
Niemann-Pick disease type C,impaired intracellular cholesterol trafficking,disease,phenotype,disease_phenotype_positive,40847051,in_kg,C2749801,True
Niemann-Pick disease type C,multiple sphingolipids,disease,phenotype,disease_phenotype_positive,40869913,in_kg,C0037900,True
Niemann-Pick disease type C,β-amyloid peptide,disease,phenotype,disease_protein,40869913,in_kg,C5979866,True
