Drug_name,Disease_name
Olanzapine,Bipolar Disorder
Olanzapine,"Depression, Bipolar"
Olanzapine,Schizoaffective Disorder
Olanzapine,"Schizoaffective Disorder, Bipolar Type"
Olanzapine,Schizophrenia
Olmesartan Medoxomil,Essential Hypertension
Olmesartan,Essential Hypertension
Olodaterol,Chronic Obstructive Airway Disease
Ombitasvir,"Hepatitis C, Chronic"
Omeprazole,Esophagitis
Omeprazole,Gastric Ulcer
Omeprazole,Gastroesophageal Reflux Disease
Omeprazole,Peptic Ulcer
Ondansetron,Gastroenteritis
Oseltamivir Phosphate,Influenza
Oseltamivir,Influenza
Oxaliplatin,Colorectal Carcinoma
Oxcarbazepine,Epilepsy
Oxygen,Respiratory Failure
Paclitaxel,Large Cell Carcinoma of Lung
Paliperidone Palmitate,Schizoaffective Disorder
Paliperidone Palmitate,Schizophrenia
Paliperidone,Schizophrenia
Pantoprazole,Gastroesophageal Reflux Disease
Pantoprazole,Peptic Ulcer
Paricalcitol,Hyperparathyroidism
Paricalcitol,"Hyperparathyroidism, Secondary"
Paricalcitol,Vitamin d Deficiency
Paritaprevir,"Hepatitis C, Chronic"
Paroxetine,"Depression, Bipolar"
Paroxetine,Major Depressive Disorder
Paroxetine,Panic Disorder
Paroxetine,Unipolar Depression
Pemetrexed,Non-Small Cell Lung Carcinoma
Phentermine,Obesity
Phenylephrine,Rhinitis
Pimecrolimus,"Dermatitis, Atopic"
Pirfenidone,Idiopathic Pulmonary Fibrosis
Pitavastatin,Hypercholesterolemia
Posaconazole,Leukopenia
Potassium Chloride,Essential Hypertension
Pramipexole,Parkinson Disease
Pramipexole,"Parkinson Disease 1, Autosomal Dominant (Disorder)"
Pramipexole,Restless Legs Syndrome
Prasugrel,Acute Coronary Syndrome
Prasugrel,"Angina, Unstable"
Prasugrel,Coronary Arteriosclerosis
Prasugrel,Coronary Artery Disease
Prasugrel,Myocardial Infarction
Prasugrel,St Segment Elevation Myocardial Infarction
Pravastatin,Hypercholesterolemia
Pravastatin,Hyperlipidemia
Praziquantel,Schistosomiasis
Praziquantel,Schistosomiasis Mansoni
Prednisolone Acetate,Cataract
Prednisolone Acetate,Uveitis
Prednisolone,Asthma
Prednisolone,Rheumatoid Arthritis
Prednisolone,Ulcerative Colitis
Prednisone,"Prostatic Neoplasms, Castration-Resistant"
Prednisone,Rheumatoid Arthritis
Prednisone,Vasculitis
Primaquine,Malaria
Progesterone,Premature Menopause
Propafenone,Atrial Fibrillation
Pseudoephedrine,Rhinitis
Pyrazinamide,Tuberculosis
Pyridoxine Hydrochloride,Tuberculosis
Quetiapine Fumarate,Bipolar Disorder
Quetiapine Fumarate,Major Depressive Disorder
Quetiapine Fumarate,Obsessive-Compulsive Disorder
Quetiapine Fumarate,Schizophrenia
Quetiapine,Bipolar Disorder
Quetiapine,"Major Depression, Single Episode"
Quetiapine,Major Depressive Disorder
Quetiapine,Schizoaffective Disorder
Quetiapine,"Schizoaffective Disorder, Bipolar Type"
Quetiapine,Schizophrenia
Quinine,Malaria
Rabeprazole Sodium,Gastroesophageal Reflux Disease
Rabeprazole,Gastroesophageal Reflux Disease
Raloxifene,Osteopenia
Raloxifene,Osteoporosis
Ramelteon,Chronic Insomnia
Ramelteon,Primary Insomnia
Ramelteon,Sleep Initiation and Maintenance Disorders
Ramipril,Atherosclerosis
Ramipril,Essential Hypertension
Ranitidine,Gastric Ulcer
Ranolazine,Pulmonary Arterial Hypertension
Rasagiline Mesylate,Parkinson Disease
Rasagiline,Parkinson Disease
Ribavirin,"Anemia, Hemolytic"
Ribavirin,Cirrhosis
Ribavirin,Hepatitis c
Ribavirin,"Hepatitis c Virus, Susceptibility to"
Ribavirin,"Hepatitis C, Chronic"
Ribavirin,Liver Cirrhosis
Rifampin,Tuberculosis
Rifaximin,Hepatic Encephalopathy
Risedronate Sodium,Osteoporosis
Risperidone,Asperger Syndrome
Risperidone,Autistic Disorder
Risperidone,Bipolar Disorder
Risperidone,Dementia
Risperidone,Disruptive Behavior Disorder
Risperidone,Oppositional Defiant Disorder
Risperidone,Schizoaffective Disorder
Risperidone,Schizophrenia
Ritonavir,"Hepatitis C, Chronic"
Rivaroxaban,Deep Vein Thrombosis
Rivastigmine,"Alzheimer Disease, Early Onset"
Rizatriptan Benzoate,Common Migraine
Rizatriptan,Common Migraine
Ropinirole,Parkinson Disease
Ropinirole,Restless Legs Syndrome
Rosiglitazone,"Diabetes Mellitus, Non-Insulin-Dependent"
Rosuvastatin Calcium,Acute Coronary Syndrome
Rosuvastatin Calcium,Coronary Arteriosclerosis
Rosuvastatin Calcium,Coronary Heart Disease
Rosuvastatin Calcium,Hypercholesterolemia
Rosuvastatin Calcium,"Hypercholesterolemia, Familial"
Rosuvastatin,Acute Coronary Syndrome
Rosuvastatin,Atherosclerosis
Rosuvastatin,Coronary Heart Disease
Rosuvastatin,Hypercholesterolemia
Rosuvastatin,"Hypercholesterolemia, Familial"
Rosuvastatin,Hyperlipidemia
Rosuvastatin,Metabolic Syndrome x
Rosuvastatin,Myocardial Ischemia
Rotigotine,Parkinson Disease
Rotigotine,"Parkinson Disease 1, Autosomal Dominant (Disorder)"
Rotigotine,Restless Legs Syndrome
Rotigotine,Secondary Parkinson Disease
Salmeterol Xinafoate,Asthma
Salmeterol Xinafoate,Chronic Obstructive Airway Disease
Salmeterol,Asthma
Salmeterol,"Bronchitis, Chronic"
Salmeterol,Chronic Obstructive Airway Disease
Sertraline,Major Depressive Disorder
Sertraline,Mental Depression
Sertraline,Obsessive-Compulsive Disorder
Sertraline,Panic Disorder
Sertraline,Severe Depression
Sildenafil Citrate,Pulmonary Arterial Hypertension
Silodosin,Benign Prostatic Hyperplasia
Simeprevir,Hepatitis c
Simeprevir,"Hepatitis C, Chronic"
Simvastatin,Atherosclerosis
Simvastatin,Coronary Heart Disease
Simvastatin,Hypercholesterolemia
Simvastatin,Hyperlipidemia
Sitagliptin Phosphate,Diabetes
Sitagliptin,Diabetes
Sodium Oxybate,Narcolepsy
Sofosbuvir,Cirrhosis
Sofosbuvir,Hepatitis c
Sofosbuvir,"Hepatitis C, Chronic"
Solifenacin Succinate,Overactive Bladder
Solifenacin,Overactive Bladder
Sorafenib,Adult Hepatocellular Carcinoma
Sorafenib,Liver Carcinoma
Sotalol,Atrial Fibrillation
Spironolactone,Heart Failure
Sulfasalazine,Rheumatoid Arthritis
Sumatriptan Succinate,Common Migraine
Sunitinib,Clear-Cell Metastatic Renal Cell Carcinoma
Suvorexant,Primary Insomnia
Tacrolimus,Lupus Nephritis
Tacrolimus,Rheumatoid Arthritis
Tadalafil,Benign Prostatic Hyperplasia
Tadalafil,Erectile Dysfunction
Tafluprost,"Glaucoma, Primary Open Angle"
Tafluprost,Ocular Hypertension
Tamsulosin,Benign Prostatic Hyperplasia
Tamsulosin,Ureteral Calculi
Telaprevir,"Hepatitis c Virus, Susceptibility to"
Telbivudine,Hepatitis b
Telbivudine,"Hepatitis B, Chronic"
Telmisartan,Essential Hypertension
Telmisartan,Metabolic Syndrome x
Temsirolimus,Renal Cell Carcinoma
Tenapanor,Hyperphosphatemia (Disorder)
Tenofovir,Hepatitis b
Tenofovir,"Hepatitis B, Chronic"
Terbutaline,Asthma
Teriflunomide,Multiple Sclerosis
Teriparatide,Osteopenia
Teriparatide,Osteoporosis
Teriparatide,"Osteoporosis, Postmenopausal"
Testosterone Undecanoate,Hypogonadism
Testosterone Undecanoate,Primary Hypogonadism
Testosterone,Erectile Dysfunction
Testosterone,Hypoactive Sexual Desire Disorder
Testosterone,Hypogonadism
Theophylline,Asthma
Ticagrelor,Acute Coronary Syndrome
Ticagrelor,Coronary Artery Disease
Ticagrelor,Myocardial Infarction
Timolol,Glaucoma
Timolol,"Glaucoma, Primary Open Angle"
Timolol,Ocular Hypertension
Tiotropium Bromide,Chronic Obstructive Airway Disease
Tiotropium,Chronic Obstructive Airway Disease
Tirofiban,St Segment Elevation Myocardial Infarction
Tobramycin,Cystic Fibrosis
Tolterodine Tartrate,Overactive Bladder
Tolterodine,Overactive Bladder
Topiramate,Bipolar Disorder
Topiramate,Common Migraine
Topiramate,Epilepsy
Topiramate,Obsessive-Compulsive Disorder
Travoprost,Glaucoma
Travoprost,Ocular Hypertension
Tretinoin,Acne
Tretinoin,Leukemia
Triamcinolone Acetonide,Diabetic Retinopathy
Triamcinolone Acetonide,"Osteoarthritis, Knee"
Triamcinolone Acetonide,Rhinitis
Triamcinolone,Rhinitis
Trospium Chloride,Overactive Bladder
