doi/PMID,Abtract/Introduction,Journal type,experiment,model,relation ,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion
38718669,Abtract,Case report,in vivo,human,disease_protein,mutation,Canavan disease,disease,ASPA,protein/gene,,
38718669,Introduction (last paragraph),Case report,in vivo,mice,indication,,adeno-associated vectors (AAV2),drug,Canavan disease,disease,,
38718669,Introduction (last paragraph),Case report,in vivo,mice,drug_protein,,adeno-associated vectors (AAV2),drug,NAA,amino acid,,
38718669,Introduction (last paragraph),Case report,in vivo,mice,indication,,adeno-associated vectors (AAV2),drug,brain atrophy,phenotype,,
38718669,Introduction (last paragraph),Case report,in vivo,mice,indication,,AAV9,drug,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human,disease_protein,enzyme,Canavan disease,disease,aspartoacylase A,protein/gene,,
38880823,Abtract,Article,in vivo,human,disease_protein,,Canavan disease,disease,NAA,amino acid,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,white matter,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,globus pallidus,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,putamen,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,caudate,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,claustrum,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,lateral thalamus,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,pulvinar,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,internal capsules,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,corpus callosum,anatomy,Canavan disease,disease,,
38880823,Abtract,Article,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,cystic formation,phenotype,,
38880823,Abtract,Article,in vivo,human, anatomy_disease,,areas of ongoing myelination,anatomy,Canavan disease,disease,,
39119446,Abtract,Case report,in vivo,human,disease_protein,,Canavan disease,disease,Aspartoacylase,protein/gene,enzym,
39119446,Abtract,Case report,in vivo,human,disease_protein,mutation,Canavan disease,disease,ASPA,protein/gene,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,hypotonia,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,macrocephaly,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,deafness,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,nystagmus,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,blindness,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,brain atrophy,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_disease,,leukodystrophy,disease,Canavan disease,disease,,
39119446,Abtract,Case report,in vivo,human,disease_protein,,Canavan disease,disease,N-acetyl ASPArtic acid (NAA),amino acid,,
39119446,Abtract,Case report,in vivo,human,disease_protein,,Canavan disease,disease,acetyl-CoA,protein/gene,chất chuyển hóa,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,oligodendrocyte-axon interface,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,intramyelinic vacuoles,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,edema,phenotype,,
39119446,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,demyelination,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_disease,,Van Bogaert-Bertrand disease,disease,Canavan disease,disease,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,delayed closure of the anterior fontanel,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,optic atrophy,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,spasticity,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,seizures,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,opisthotonus,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,cerebral delayed posture,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,decortication,phenotype,,
39119446,Introduction (last paragraph),Case report,in vivo,human, anatomy_disease,,subcortical white matter,anatomy,Canavan disease,disease,,
39119446,Introduction (last paragraph),Case report,in vivo,human, anatomy_disease,,posterior fossa,anatomy,Canavan disease,disease,,
39119446,Introduction (last paragraph),Case report,in vivo,human, anatomy_disease,,corpus callosum genus,anatomy,Canavan disease,disease,,
39119446,Introduction (last paragraph),Case report,in vivo,human, anatomy_disease,,capsule,anatomy,Canavan disease,disease,,
39128657,Abtract,Article,in vivo,human,disease_protein,mutation,Canavan disease,disease,ASPA,protein/gene,,
39128657,Abtract,Article,in vivo,human,disease_protein,mutation,Canavan disease,disease,aspartoacylase A,protein/gene,,
39128657,Abtract,Article,in vivo,human,disease_phenotype_positive,mutation,Canavan disease,disease,E285A,protein/gene,,
39128657,Introduction (last paragraph),Article,in vivo,human,indication,,pharmacological chaperones,drug,Canavan disease,disease,,
39128657,Introduction (last paragraph),Article,in vivo,human,indication,,enzyme enhancement,drug,Canavan disease,disease,,
39524158,Abtract,Case report,in vivo,human, anatomy_disease,,white matter,anatomy,Canavan disease,disease,,
39524158,Abtract,Case report,in vivo,human,disease_protein,,Canavan syndrome,disease,Aspartoacylase,protein/gene,,
39524158,Abtract,Case report,in vivo,human,disease_protein,,Canavan syndrome,disease,N-acetyl-L-aspartic acid,amino acid,,
39524158,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan syndrome,disease,motor impairment,phenotype,,
39524158,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan syndrome,disease,muscle tone abnormalities,phenotype,,
39524158,Abtract,Case report,in vivo,human,disease_phenotype_positive,,Canavan syndrome,disease,developmental delays,disease,,
39524158,Abtract,Case report,in vivo,human,indication,,REAC RGN-N treatment,drug,Canavan syndrome,biological_process,,
39524158,Introduction (last paragraph),Case report,in vivo,human,drug_bioprocess,,REAC - BENE mod 110,drug,bioelectrical activity,disease,,
39628365,Abtract,Article,in vivo,human,disease_disease,,leukodystrophy,disease,Canavan disease,disease,,
39628365,Abtract,Article,in vivo,human,disease_protein,,Canavan disease,disease,ASPA,protein/gene,,
39628365,Abtract,Article,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,N-acetylaspartate (NAA),phenotype,,
39628365,Abtract,Article,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,psychomotor deficits,phenotype,,
39628365,Abtract,Article,in vivo,human,disease_phenotype_negative,,Canavan disease,disease,motor milestones,phenotype,,
39628365,Abtract,Article,in vivo,human,phenotype_protein,,mild CD,phenotype,R71H,protein/gene,,
39628365,Abtract,Article,in vivo,human,phenotype_protein,,typical CD,phenotype,Y288C,protein/gene,,
39628365,Abtract,Article,in vivo,human,phenotype_protein,,mild CD,phenotype,Y288C,protein/gene,,
39628365,Abtract,Article,in vivo,human,protein_protein,enzyme,ASPA,protein/gene,NAA,protein/gene,,
38740822,Abtract,Article,in vivo,human,disease_protein,,Canavan disease,disease,ASPA,protein/gene,,
38740822,Abtract,Article,in vivo,human,disease_disease,,lethal neurological disorder,disease,Canavan disease,disease,,
38740822,Abtract,Article,in vivo,human,bioprocess_protein,,ubiquitin-proteasome pathway,biological_process,ASPA,protein/gene,,
38740822,Abtract,Article,in vivo,human,phenotype_protein,,toxic,phenotype,ASPA,protein/gene,,
38740822,Abtract,Article,in vivo,human,disease_protein,,Canavan disease,disease,ASPA,protein/gene,,
38740822,Introduction (last paragraph),Article,in vivo,human,bioprocess_protein,,PQC-linked degradation,biological_process,ASPA C152W,protein/gene,,
