,entity_name,original_entity_types,PMID,relation,entity_side
394,cholesterol storage in endosomes,phenotype,36920149,disease_phenotype_positive,2
395,cholesterol storage in lysosomes,phenotype,36920149,disease_phenotype_positive,2
398,cholesterol trafficking proteins,biological_process,36636588,bioprocess_disease,1
400,cholesterol transport to the plasma membrane,biological_process,40972529,bioprocess_protein,2
402,cholesterol uptake gene,protein/gene,41013744,protein_protein,1
406,choriod plexus,anatomy,34720883,anatomy_protein_present,1
407,choroid plexus enlargement,phenotype,39689839,disease_phenotype_positive|pathology_phenotype,2
409,choroid plexus volumes,phenotype,39689839,phenotype_protein,2
411,chronic neurodegeneration,phenotype,40221338,disease_phenotype_positive,2
413,ci-mpr-dependent trafficking of npc2,,,,
414,ciliary accessible cholesterol,phenotype,40737317,bioprocess_protein|phenotype_protein,1|2
416,circulating inflammatory monocytes,anatomy,37369603,phenotype_anatomy,2
418,cis-ptase,,,,
419,clear cholesterol from liver,phenotype,36279795,drug_effect,2
420,clearance of substrates,,,,
425,cns biomarkers,,,,
428,coginitive decline,phenotype,40221338|40525490,disease_phenotype_positive,2
434,cognitive performance deterioration,phenotype,40701909,disease_phenotype_positive,2
435,"combination of miglustat, allopregnanolone, and 2-hydroxypropyl-ß-cyclodextrin",drug,36614015,drug_effect,1
437,complex asparagine-linked glycosylation,biological_process,35563467,bioprocess_protein|disease_phenotype_positive|disease_protein,1|2
438,compromised ability to mobilize lipids from lipid vesicles,,,,
444,corrected cholesterol accumulation,,,,
445,corrected cholesterol localization,,,,
446,corrected npc1 localization,,,,
448,cortical symptoms,phenotype,40866990,drug_effect,2
450,creatinine synthesis pathway,pathway,39452896,pathway_protein,2
451,crohn’s disease,,,,
452,cryptic splice donor site,pathology,40026274,pathology_phenotype,1|2
455,cyclic amp signalling pathway,,,,
457,cyclodextrins complexes with unesterified cholesterol,,,,
459,cyclophellitol aziridine activity-based probe,,,,
465,cytolosic dsdna accumulation,,,,
468,cytosolic b-glucosidase,cellular_component,39246358,cellcomp_protein,1
473,damaged peripheral organs,phenotype,35408815,disease_phenotype_positive,2
474,dearth in the lysosome loading of cholesterol transporter,phenotype,38183651,phenotype_protein,1
477,decaarginine endcapped polyrotaxanes,drug,36584173,drug_effect|exposure_cellcomp,1
478,decelerated disease progression,phenotype,40009086,drug_effect,2
479,deceleration of vertical saccades,,,,
480,declined gait abnormalities,phenotype,34387740,drug_effect,2
481,declined motor dysfunction,phenotype,34387740,drug_effect,2
483,decrease cholesterol accumulation,phenotype,35487270,drug_effect,2
484,decrease in cerebrospinal fluid disease severity levels,phenotype,39688135,drug_effect,2
485,decrease long term hematopoietic stem cells in bone marrow,phenotype,35007562,phenotype_protein,1
486,decrease long term hematopoietic stem in bone marrow,phenotype,35007562,phenotype_protein,1
487,decrease short term hematopoietic stem cells in bone marrow,phenotype,35007562,phenotype_protein,1
488,decrease short term hematopoietic stem in bone marrow,phenotype,35007562,phenotype_protein,1
489,decreased astrogliosis,phenotype,34944681,drug_effect,2
490,decreased brain s-adenosyl-l-methionine levels,,,,
491,decreased cerebrospinal fluid levels of lpc o-16:0,,,,
492,decreased cerebrospinal fluid levels of lpc o-18:1,,,,
493,decreased cerebrospinal fluid ubiquitin c-terminal hydrolase-l1 levels,,,,
494,decreased cfs level of total tau,,,,
495,decreased cholesterol accumulation,phenotype,35159129,drug_effect,2
496,decreased cholesterol content associated with late endosome,phenotype,35507892,phenotype_protein,2
497,decreased er ca2+ levels,,,,
498,decreased filipin+ cholesterol accumulation,,,,
499,decreased levels of adenosine 5′-triphosphate,phenotype,38550777,phenotype_protein,2
500,decreased levels of purkinje neurons,,,,
501,decreased microgliosis,phenotype,34944681,drug_effect,2
502,decreased mitochondrial glutathione levels,phenotype,38599016,phenotype_protein,2
503,decreased ormdls,,,,
504,decreased oxidative stress,phenotype,34175669,phenotype_protein,2
505,decreased pai-1,,,,
506,decreased pdgf-aa,,,,
508,decreased pro-neuropeptide y,,,,
509,decreased soat1,,,,
510,decreased stard1 expression,,,,
511,decreased tumor metastasis,phenotype,35563467,phenotype_protein,2
512,decreased tyrosinase-related protein 1,phenotype,37423302,phenotype_protein,2
513,decreased vacuolar fragmentation,phenotype,40504793,drug_effect,2
514,decreased vertical saccades peak velocity,phenotype,34096670,disease_phenotype_positive,2
515,decreases the association of the luminal transporter npc2,,,,
516,deep brain signs,phenotype,36199263,phenotype_phenotype,1
518,deep cerebellar nuclei neurons,anatomy,37539272,anatomy_protein_present,2
519,defective autophagic flux,,,,
520,defective cholesterol trafficking,biological_process,38549495,bioprocess_protein|cellcomp_bioprocess,1|2
521,defective fusion of autophagosomes,phenotype,35159316,phenotype_phenotype,1
522,defective fusion of lysosomes,phenotype,35159316,phenotype_phenotype,1
523,defective lysosomal cholesterol efflux,phenotype,36409725,disease_phenotype_positive,2
525,defective mitophagy induction,phenotype,35159316,drug_effect|phenotype_protein,2
528,defective trafficking of cholesterol,,,,
529,defectived in cholesterol transport,,,,
530,deficient in mgat5,,,,
532,degradation of lipid droplets,phenotype,37908116,phenotype_phenotype,2
534,delay the onset of purkinje neuron death,,,,
535,delayed onset of interferon signaling,phenotype,38254990,phenotype_phenotype,1
537,delayed the onset of motor impairment,phenotype,35507892,phenotype_protein,1
538,delayed the onset of weight loss,phenotype,35507892,phenotype_protein,1
539,deleted trem2,,,,
542,dentate gyrus regions,,,,
543,depletion borc-arl8-hops,,,,
544,depletion homotypic fusion and protein sorting,,,,
545,depletion of adp-ribosylation factor-like gtpase 8,,,,
546,depletion of bloc one-related complex,,,,
548,depletion of stard9,,,,
551,deregulation in the cortical circadian rhythm pathway,phenotype,40869913,disease_phenotype_positive,2
552,derived glioblastoma stem-like cells,,,,
554,deuterium-labeled cholesterol-dextran,,,,
557,de‐ramified processes,phenotype,36322609,phenotype_protein,2
559,diminished h3k27me3,,,,
567,dissolve cholesterol crystals into free cholesterol,phenotype,34748340,drug_effect,2
571,downregulated fibrinogen,phenotype,36638187,disease_protein,2
572,downregulated innate immune complement components,phenotype,36638187,disease_protein,2
575,dysfunctional autophagy,pathology,38821960,pathology_phenotype,1
