,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
415,ciliary hedgehog signaling,,ciliary hedgehog signaling,ciliary receptor clustering involved in smoothened signaling pathway,C2753058,['T044'],['Molecular Function'],,,
416,circulating inflammatory monocytes,anatomy,circulating inflammatory monocytes,,,[],[],37369603,phenotype_anatomy,2
417,circulation failure,phenotype,circulation failure,Shock,C0036974,['T046'],['Pathologic Function'],37429811,phenotype_phenotype,2
418,cis-ptase,,cis-ptase,,,[],[],,,
419,clear cholesterol from liver,phenotype,clear cholesterol from liver,,,[],[],36279795,drug_effect,2
420,clearance of substrates,,clearance of substrates,,,[],[],,,
421,clinical manifestations,phenotype,clinical manifestations,"tuberculosis; infection, without clinical manifestations",C1407572,['T047'],['Disease or Syndrome'],39502943,disease_phenotype_positive,2
422,clinical phenotype,phenotype,clinical phenotype,Highly variable clinical phenotype,C1839039,['T033'],['Finding'],38131230,pathology_phenotype,2
423,cln1 disease,,cln1 disease,Juvenile CLN1 disease,C6012314,['T047'],['Disease or Syndrome'],,,
424,cns,,cns,Central Nervous System,C3714787,['T022'],['Body System'],,,
425,cns biomarkers,,cns biomarkers,,,[],[],,,
426,cochlear outer hair cells,,cochlear outer hair cells,Cochlear outer hair cell,C1518683,['T025'],['Cell'],,,
427,coenzyme q10,,coenzyme q10,COENZYME Q10 DEFICIENCY,C1843920,['T047'],['Disease or Syndrome'],,,
428,coginitive decline,phenotype,coginitive decline,,,[],[],40221338|40525490,disease_phenotype_positive,2
429,cognitive decline,phenotype,cognitive decline,Impaired cognition,C0338656,['T048'],['Mental or Behavioral Dysfunction'],35853348|36199263|38087834|40306479|40898442,disease_phenotype_positive|phenotype_phenotype,2
430,cognitive deficit,protein/gene,cognitive deficit,Impaired cognition,C0338656,['T048'],['Mental or Behavioral Dysfunction'],37128603,drug_bioprocess,2
431,cognitive disorders,phenotype,cognitive disorders,Cognition Disorders,C0009241,['T048'],['Mental or Behavioral Dysfunction'],37740198,disease_phenotype_positive,2
432,cognitive disturbances,phenotype,cognitive disturbances,Impaired cognition,C0338656,['T048'],['Mental or Behavioral Dysfunction'],34993563,disease_phenotype_positive,2
433,cognitive function,phenotype,cognitive function,Cognitive functions,C0392335,['T041'],['Mental Process'],34851695,phenotype_protein,1
434,cognitive performance deterioration,phenotype,cognitive performance deterioration,,,[],[],40701909,disease_phenotype_positive,2
435,"combination of miglustat, allopregnanolone, and 2-hydroxypropyl-ß-cyclodextrin",drug,"combination of miglustat, allopregnanolone, and 2-hydroxypropyl-ß-cyclodextrin",,,[],[],36614015,drug_effect,1
436,compensating strategies,phenotype,compensating strategies,Adjusts strategies to compensate for disabilities,C4718647,['T033'],['Finding'],34096670,disease_phenotype_positive,2
437,complex asparagine-linked glycosylation,biological_process,complex asparagine-linked glycosylation,,,[],[],35563467,bioprocess_protein|disease_phenotype_positive|disease_protein,1|2
438,compromised ability to mobilize lipids from lipid vesicles,,compromised ability to mobilize lipids from lipid vesicles,,,[],[],,,
439,congenital disorders of glycosylation,,congenital disorders of glycosylation,Congenital Disorders of Glycosylation,C0282577,['T047'],['Disease or Syndrome'],,,
440,convergent pathway,pathway,convergent pathway,Surgically constructed convergence of inferior and superior vena cava pathways into common pathway superior to atrioventricular valve,C2732609,['T023'],"['Body Part, Organ, or Organ Component']",40737317,pathway_pathway|pathway_protein,1|2
441,cornu ammonis regions 1 region,,cornu ammonis regions 1 region,CA1 field,C0694598,['T029'],['Body Location or Region'],,,
442,cornu ammonis regions 2 region,,cornu ammonis regions 2 region,CA2 field,C0694599,['T023'],"['Body Part, Organ, or Organ Component']",,,
443,cornu ammonis regions 3 region,,cornu ammonis regions 3 region,CA3 field,C0694600,['T023'],"['Body Part, Organ, or Organ Component']",,,
444,corrected cholesterol accumulation,,corrected cholesterol accumulation,,,[],[],,,
445,corrected cholesterol localization,,corrected cholesterol localization,,,[],[],,,
446,corrected npc1 localization,,corrected npc1 localization,,,[],[],,,
447,cortical,phenotype,cortical,Cerebral cortex,C0007776,['T023'],"['Body Part, Organ, or Organ Component']",36199263,phenotype_phenotype,1
448,cortical symptoms,phenotype,cortical symptoms,,,[],[],40866990,drug_effect,2
449,course of the disease,phenotype,course of the disease,Usual course of disease,C1820861,['T033'],['Finding'],36243834,drug_effect,2
450,creatinine synthesis pathway,pathway,creatinine synthesis pathway,,,[],[],39452896,pathway_protein,2
451,crohn’s disease,,crohn’s disease,,,[],[],,,
452,cryptic splice donor site,pathology,cryptic splice donor site,,,[],[],40026274,pathology_phenotype,1|2
453,ctep,,ctep,NCI CTEP Simplified Disease Classification Terminology,C3641000,['T170'],['Intellectual Product'],,,
454,cyb5,,cyb5,CYB5 and CYB5 Reductase,C5886624,"['T116', 'T126']","['Amino Acid, Peptide, or Protein', 'Enzyme']",,,
455,cyclic amp signalling pathway,,cyclic amp signalling pathway,,,[],[],,,
456,cyclodextrin,drug,cyclodextrin,cyclodextrins,C0010558,"['T109', 'T130']","['Organic Chemical', 'Indicator, Reagent, or Diagnostic Aid']",34455703,drug_effect,1
457,cyclodextrins complexes with unesterified cholesterol,,cyclodextrins complexes with unesterified cholesterol,,,[],[],,,
458,cyclooxygenase,molecular_function,cyclooxygenase,Prostaglandin-Endoperoxide Synthase,C0033551,"['T116', 'T126']","['Amino Acid, Peptide, or Protein', 'Enzyme']",40306479,molfunc_molfunc,1
459,cyclophellitol aziridine activity-based probe,,cyclophellitol aziridine activity-based probe,,,[],[],,,
460,cyclophellitols,GRAS/Excipient/prodrug,cyclophellitols,cyclophellitol,C0082160,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",39246358,exposure_protein,1
461,cyp46,,cyp46,CYP46A1 gene,C1413885,['T028'],['Gene or Genome'],,,
462,cysteine metabolism pathway,pathway,cysteine metabolism pathway,Cysteine and Methionine Metabolism Pathway,C2984227,['T169'],['Functional Concept'],39452896,pathway_protein,2
463,cytochrome p450,,cytochrome p450,Cytochrome P450,C0010762,"['T116', 'T126']","['Amino Acid, Peptide, or Protein', 'Enzyme']",,,
464,cytochrome p450 pathway,,cytochrome p450 pathway,Drug Metabolism by Cytochrome P450 Pathway,C2984237,['T169'],['Functional Concept'],,,
465,cytolosic dsdna accumulation,,cytolosic dsdna accumulation,,,[],[],,,
466,cytoplasmic retention,biological_process,cytoplasmic retention,"Dnajc7 protein, mouse",C1313244,['T116'],"['Amino Acid, Peptide, or Protein']",40427492,phenotype_protein,2
467,cytoplasmic vesicles,cellular_component,cytoplasmic vesicles,Cytoplasmic Vesicles,C0887884,['T026'],['Cell Component'],36431844,drug_effect,2
468,cytosolic b-glucosidase,cellular_component,cytosolic b-glucosidase,,,[],[],39246358,cellcomp_protein,1
469,cytotoxic granules,cellular_component,cytotoxic granules,Cytotoxic Granule Protein,C3899478,"['T116', 'T123']","['Amino Acid, Peptide, or Protein', 'Biologically Active Substance']",35081253,cellcomp_protein,1
470,cytotoxic t lymphocyte cytotoxicity,,cytotoxic t lymphocyte cytotoxicity,Cytotoxic T-Lymphocytes,C0039195,['T025'],['Cell'],,,
471,cytotoxicity,phenotype,cytotoxicity,cytotoxicity,C0596402,['T049'],['Cell or Molecular Dysfunction'],36409725,drug_effect,2
472,damaged central nervous system.,phenotype,damaged central nervous system.,maternal care for other central nervous system malformation or damage in fetus,C5683994,['T058'],['Health Care Activity'],35408815,disease_phenotype_positive,2
473,damaged peripheral organs,phenotype,damaged peripheral organs,,,[],[],35408815,disease_phenotype_positive,2
474,dearth in the lysosome loading of cholesterol transporter,phenotype,dearth in the lysosome loading of cholesterol transporter,,,[],[],38183651,phenotype_protein,1
475,death,phenotype,death,Death (finding),C1306577,['T033'],['Finding'],35192242|38087834,disease_phenotype_positive|phenotype_protein,1|2
476,debilitating condition,disease,debilitating condition,"Identify presence of at-risk conditions (e.g., age, debilitated and immunocompromised persons, recent illness, trauma, invasive procedures, chronic conditions, change in cognition and affect)",C5915579,['T058'],['Health Care Activity'],34819124,disease_disease,2
477,decaarginine endcapped polyrotaxanes,drug,decaarginine endcapped polyrotaxanes,,,[],[],36584173,drug_effect|exposure_cellcomp,1
478,decelerated disease progression,phenotype,decelerated disease progression,,,[],[],40009086,drug_effect,2
479,deceleration of vertical saccades,,deceleration of vertical saccades,,,[],[],,,
480,declined gait abnormalities,phenotype,declined gait abnormalities,,,[],[],34387740,drug_effect,2
481,declined motor dysfunction,phenotype,declined motor dysfunction,,,[],[],34387740,drug_effect,2
482,declining cognition,phenotype,declining cognition,Impaired cognition,C0338656,['T048'],['Mental or Behavioral Dysfunction'],37210540,disease_phenotype_positive,2
483,decrease cholesterol accumulation,phenotype,decrease cholesterol accumulation,,,[],[],35487270,drug_effect,2
484,decrease in cerebrospinal fluid disease severity levels,phenotype,decrease in cerebrospinal fluid disease severity levels,,,[],[],39688135,drug_effect,2
485,decrease long term hematopoietic stem cells in bone marrow,phenotype,decrease long term hematopoietic stem cells in bone marrow,,,[],[],35007562,phenotype_protein,1
486,decrease long term hematopoietic stem in bone marrow,phenotype,decrease long term hematopoietic stem in bone marrow,,,[],[],35007562,phenotype_protein,1
487,decrease short term hematopoietic stem cells in bone marrow,phenotype,decrease short term hematopoietic stem cells in bone marrow,,,[],[],35007562,phenotype_protein,1
488,decrease short term hematopoietic stem in bone marrow,phenotype,decrease short term hematopoietic stem in bone marrow,,,[],[],35007562,phenotype_protein,1
489,decreased astrogliosis,phenotype,decreased astrogliosis,,,[],[],34944681,drug_effect,2
490,decreased brain s-adenosyl-l-methionine levels,,decreased brain s-adenosyl-l-methionine levels,,,[],[],,,
491,decreased cerebrospinal fluid levels of lpc o-16:0,,decreased cerebrospinal fluid levels of lpc o-16:0,,,[],[],,,
