,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
492,decreased cerebrospinal fluid levels of lpc o-18:1,,decreased cerebrospinal fluid levels of lpc o-18:1,,,[],[],,,
493,decreased cerebrospinal fluid ubiquitin c-terminal hydrolase-l1 levels,,decreased cerebrospinal fluid ubiquitin c-terminal hydrolase-l1 levels,,,[],[],,,
494,decreased cfs level of total tau,,decreased cfs level of total tau,,,[],[],,,
495,decreased cholesterol accumulation,phenotype,decreased cholesterol accumulation,,,[],[],35159129,drug_effect,2
496,decreased cholesterol content associated with late endosome,phenotype,decreased cholesterol content associated with late endosome,,,[],[],35507892,phenotype_protein,2
497,decreased er ca2+ levels,,decreased er ca2+ levels,,,[],[],,,
498,decreased filipin+ cholesterol accumulation,,decreased filipin+ cholesterol accumulation,,,[],[],,,
499,decreased levels of adenosine 5′-triphosphate,phenotype,decreased levels of adenosine 5′-triphosphate,,,[],[],38550777,phenotype_protein,2
500,decreased levels of purkinje neurons,,decreased levels of purkinje neurons,,,[],[],,,
501,decreased microgliosis,phenotype,decreased microgliosis,,,[],[],34944681,drug_effect,2
502,decreased mitochondrial glutathione levels,phenotype,decreased mitochondrial glutathione levels,,,[],[],38599016,phenotype_protein,2
503,decreased ormdls,,decreased ormdls,,,[],[],,,
504,decreased oxidative stress,phenotype,decreased oxidative stress,,,[],[],34175669,phenotype_protein,2
505,decreased pai-1,,decreased pai-1,,,[],[],,,
506,decreased pdgf-aa,,decreased pdgf-aa,,,[],[],,,
507,decreased pigmentation,phenotype,decreased pigmentation,Decreased Pigmentation,C5205893,['T033'],['Finding'],37423302,phenotype_protein,2
508,decreased pro-neuropeptide y,,decreased pro-neuropeptide y,,,[],[],,,
509,decreased soat1,,decreased soat1,,,[],[],,,
510,decreased stard1 expression,,decreased stard1 expression,,,[],[],,,
511,decreased tumor metastasis,phenotype,decreased tumor metastasis,,,[],[],35563467,phenotype_protein,2
512,decreased tyrosinase-related protein 1,phenotype,decreased tyrosinase-related protein 1,,,[],[],37423302,phenotype_protein,2
513,decreased vacuolar fragmentation,phenotype,decreased vacuolar fragmentation,,,[],[],40504793,drug_effect,2
514,decreased vertical saccades peak velocity,phenotype,decreased vertical saccades peak velocity,,,[],[],34096670,disease_phenotype_positive,2
515,decreases the association of the luminal transporter npc2,,decreases the association of the luminal transporter npc2,,,[],[],,,
516,deep brain signs,phenotype,deep brain signs,,,[],[],36199263,phenotype_phenotype,1
517,deep cerebellar nuclei,anatomy,deep cerebellar nuclei,Cerebellar Nuclei,C0007763,['T023'],"['Body Part, Organ, or Organ Component']",37539272,anatomy_anatomy|anatomy_disease|pathology_anatomy_present,1|2
518,deep cerebellar nuclei neurons,anatomy,deep cerebellar nuclei neurons,,,[],[],37539272,anatomy_protein_present,2
519,defective autophagic flux,,defective autophagic flux,,,[],[],,,
