,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
161,Retinal degeneration,retinal vascular attenuation,phenotype,phenotype,phenotype_phenotype,34532411,in_kg,C3278975|C4231158,,Attenuation of retinal blood vessels,Attenuation of retinal blood vessels
187,neurodegenerative diseases,frontotemporal lobar degeneration,disease,disease,disease_disease,34618685,in_kg,C0751072|C1843792,,Grn-related frontotemporal lobar degeneration with Tdp43 inclusions,Grn-related frontotemporal lobar degeneration with Tdp43 inclusions
214,Adult-Onset Neuronal Ceroid Lipofuscinosis,progressive gait abnormality,disease,phenotype,disease_phenotype_positive,34679057,C0751383,C1843885,neuronal ceroid lipofuscinosis,Progressive gait ataxia,entity1:neuronal ceroid lipofuscinosis|entity2:Progressive gait ataxia
215,Adult-Onset Neuronal Ceroid Lipofuscinosis,hypermetria,disease,phenotype,disease_phenotype_positive,34679057,C0751383,C1855925|C3668822,neuronal ceroid lipofuscinosis,High hypermetropia,entity1:neuronal ceroid lipofuscinosis|entity2:High hypermetropia
216,Adult-Onset Neuronal Ceroid Lipofuscinosis,proprioceptive deficits,disease,phenotype,disease_phenotype_positive,34679057,C0751383,C0576690|C1856691,neuronal ceroid lipofuscinosis,Impaired proprioception,entity1:neuronal ceroid lipofuscinosis|entity2:Impaired proprioception
217,Adult-Onset Neuronal Ceroid Lipofuscinosis,reduced patellar reflex,disease,phenotype,disease_phenotype_positive,34679057,C0751383,C3277184,neuronal ceroid lipofuscinosis,Decreased patellar reflex,entity1:neuronal ceroid lipofuscinosis|entity2:Decreased patellar reflex
220,Adult-Onset Neuronal Ceroid Lipofuscinosis,ataxia,disease,phenotype,disease_phenotype_positive,34679057,C0751383,in_kg,neuronal ceroid lipofuscinosis,,neuronal ceroid lipofuscinosis
221,Adult-Onset Neuronal Ceroid Lipofuscinosis,visual deficits,disease,phenotype,disease_phenotype_positive,34679057,C0751383,C3665347|C4732817,neuronal ceroid lipofuscinosis,Mildly reduced visual acuity,entity1:neuronal ceroid lipofuscinosis|entity2:Mildly reduced visual acuity
236,astrocytic,Gfap,anatomy,protein/gene,anatomy_protein_present,34749772,C0521395,in_kg,,,
237,astrocytic,C4b,anatomy,protein/gene,anatomy_protein_present,34749772,C0521395,in_kg,,,
238,astrocytic,Osmr,anatomy,protein/gene,anatomy_protein_present,34749772,C0521395,in_kg,,,
240,microglial,Ctss,anatomy,protein/gene,anatomy_protein_present,34749772,C0521398,in_kg,,,
