,entity_name,original_entity_types,PMID,relation,entity_side
1058,reduced α-synuclein aggregation,biological_process,37566176,bioprocess_protein,2
1059,reduction in lipofuscin deposits,phenotype,34485593,phenotype_protein,2
1060,reduction in microglia infiltration,phenotype,34485593,phenotype_protein,2
1061,reduction in retina thinning,phenotype,34485593,drug_effect,2
1066,rescued autophagy,biological_process,40333988,drug_effect,2
1067,rescued locomotor impairment,phenotype,35681535,drug_effect,2
1068,residual histopathology,phenotype,35395398,disease_phenotype_positive,2
1069,restored autophagy,biological_process,38211816,drug_bioprocess,2
1070,restored chemotaxis,phenotype,36282524,drug_effect,2
1071,restored muscle strength,phenotype,37932327,drug_effect,2
1081,retinal volume stable,phenotype,38049626,drug_effect,2
1088,robust mismatch negativity response,phenotype,37645970,disease_phenotype_positive,2
1089,robust therapeutic benefit,phenotype,36876653,drug_effect,2
1091,rod system dysfunction,phenotype,34272513,disease_phenotype_positive|phenotype_phenotype,2
1096,scattered drusen,phenotype,34532411,phenotype_phenotype,2
1101,sequestosome 1/p62,protein/gene,35033660,bioprocess_protein,2
1107,severe cerebellum atrophy,phenotype,39716776,disease_phenotype_positive,2
1108,severe cortical atrophy,anatomy,39718800,anatomy_anatomy,2
1110,severe reduction in heart rate,phenotype,35356463,disease_phenotype_positive,2
1112,sex-dependent myelination defect,phenotype,37120788,phenotype_protein,2
1114,sharp fall in the number of lipid droplets,phenotype,35681535,drug_effect,2
1115,significant atrophy of all retinal layers,phenotype,35256654,disease_phenotype_positive,2
1116,significant cortical atrophy,phenotype,36632184,disease_phenotype_positive,2
1122,slow brain volume loss,phenotype,38977290,drug_effect,2
1123,slow deteriorated language function,phenotype,39201975,drug_effect,2
1124,slow deteriorated motor function,phenotype,39201975,drug_effect,2
1125,slow movement disorder progression,phenotype,38976822,drug_effect,2
1127,slow supratentorial gray matter volume loss,phenotype,38977290,drug_effect,2
1129,slowed language decline,protein/gene,40162009,drug_effect,2
1130,slowed language function decline,phenotype,38101904,drug_effect,2
1131,slowed motor decline,phenotype | protein/gene,38101904|40162009,drug_effect,2
1132,slowed stereotypical brain atrophy,phenotype,37614821,drug_effect,2
1134,small caudate volume,phenotype,36991106,disease_phenotype_positive,2
1135,small gray matter volume,phenotype,36991106,disease_phenotype_positive,2
1136,small intracranial volume,phenotype,36991106,disease_phenotype_positive,2
1137,small putamen volume,phenotype,36991106,disease_phenotype_positive,2
1143,soluble lysosomal enzymes,protein/gene,35033660,disease_protein,2
1144,sortilin inhibitor,protein/gene,37790379,drug_protein,2
1145,specific emotions and behaviou,phenotype,35627432,phenotype_phenotype,2
1146,specific emotions and behaviour,phenotype,35627432,phenotype_phenotype,2
1150,splice-switching antisense oligonucleotide,drug,40501755,drug_bioprocess|drug_effect,1
1151,spontaneous myoclonus,phenotype,34201538,disease_phenotype_negative,2
